OPPORTUNITY_TK,VERSION,DATE_FROM,DATE_TO,OPPORTUNITY_ID,OPPORTUNITY_NAME,OPPORTUNITY_CREATED_BY,OPPORTUNITY_DELETED,OPPORTUNITY_DESCRIPTION,OPPORTUNITY_TYPE,OPPORTUNITY_LEAD_SOURCE,OPPORTUNITY_NEXT_STEPS,OPPORTUNITY_SALES_STAGE
0,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,N/A,Not Set,Not Set,No,Not Set,Not Set,Not Set,Not Set,Not Set
1,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,81BDB319-ACD1-B6A6-B007-B764447F04E5,Curabitur Vel Institute-837,Not Set,No,Not Set,Existing Business,Partner,Not Set,Identifying Decision Makers
2,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5426C896-F978-314A-62F6-292552F2EC73,Sollicitudin Commodo Ltd-335,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Qualification
3,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F5DC05B3-3C0F-B1F1-279F-27C0BA1240B9,Ridiculus Mus LLP-296,Not Set,No,Not Set,Existing Business,Campaign,Not Set,Qualification
4,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,004C986D-959E-7655-2960-B5AED8CA40A0,Facilisi Sed Inc.-960,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Closed Won
5,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D5C023D7-671D-B0BE-218D-3C6B49ADDAE9,Mauris Company-986,Not Set,No,Not Set,Existing Business,Partner,Not Set,Qualification
6,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,0A7FF603-0FE6-2683-5109-72E22C8CBD26,Fringilla Est Inc.-670,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Value Proposition
7,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BFE5BD56-6955-03DC-EB6E-3006D77402FC,Nascetur Ridiculus Mus Institute-649,Not Set,No,Not Set,Existing Business,Conference,Not Set,Qualification
8,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,770462A4-BC38-C844-100F-0E4DFCA61E08,Dapibus Gravida Company-239,Not Set,No,Not Set,New Business,Campaign,Not Set,Negotiation/Review
9,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,EEE84087-73A4-B1DC-4B29-2CAE59718AC3,Ac Feugiat Non Incorporated-158,Not Set,No,Not Set,New Business,Web Site,Not Set,Negotiation/Review
10,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,93F7C8F8-835A-84CC-AC3D-F087CA09734E,Posuere Vulputate Corporation-995,Not Set,No,Not Set,New Business,Public Relations,Not Set,Proposal/Price Quote
11,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,AC59ECB3-73B4-DADD-234D-8A17E54C193C,Sapien Aenean Ltd-517,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Identifying Decision Makers
12,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,98EEC690-E8BC-F6AF-07A0-AFA7647CDBFF,Pellentesque LLP-244,Not Set,No,Not Set,Existing Business,Existing Customer,Not Set,Qualification
13,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8A69AB7E-1757-9E62-E986-0FDA54190756,Et Eros Proin Company-864,Not Set,No,Not Set,New Business,Trade Show,Not Set,Prospecting
14,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,21F69D2D-257F-F280-9940-2EB3C892FD3A,Auctor Non Feugiat Ltd-398,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Perception Analysis
15,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6A4AEDDA-19EC-B50A-1DAC-E3EB81A0545D,Parturient Montes PC-741,Not Set,No,Not Set,Existing Business,Public Relations,Not Set,Closed Lost
16,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,604F08EA-F505-7C5D-112D-C061A01598D1,Sociosqu Ad Company-651,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Prospecting
17,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A731D406-3029-D99C-E5BE-6436475669CA,Sapien Molestie Foundation-258,Not Set,No,Not Set,New Business,Conference,Not Set,Prospecting
18,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,29818709-51E4-94C9-E1BB-9744C8B3DE4E,Auctor Non Feugiat Ltd-881,Not Set,No,Not Set,Existing Business,Partner,Not Set,Value Proposition
19,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,339D86F7-541F-0E5E-4F3C-2E19EC1D6171,Sollicitudin Commodo Ltd-653,Not Set,No,Not Set,New Business,Public Relations,Not Set,Closed Lost
