PRODUCT_CATEGORY_ID,PRODUCT_ID,PRODUCT_NAME,PRODUCT_MAINCODE,PRODUCT_PART_NUMBER,PRODUCT_UNIT_PRICE,PRODUCT_UNIT_COST,PRODUCT_CATEGORY_NAME
30,1,Washington Berry Juice                                      ,90748583674,90748583674,2.85,2.565,Pure Juice Beverages          
52,2,Washington Mango Drink                                      ,96516502499,96516502499,0.74,0.666,Drinks                        
52,3,Washington Strawberry Drink                                 ,58427771925,58427771925,0.83,0.747,Drinks                        
19,4,Washington Cream Soda                                       ,64412155747,64412155747,3.64,3.276,Carbonated Beverages          
19,5,Washington Diet Soda                                        ,85561191439,85561191439,2.19,1.971,Carbonated Beverages          
19,6,Washington Cola                                             ,29804642796,29804642796,1.15,1.035,Carbonated Beverages          
19,7,Washington Diet Cola                                        ,20191444754,20191444754,2.61,2.349,Carbonated Beverages          
30,8,Washington Orange Juice                                     ,89770532250,89770532250,2.59,2.331,Pure Juice Beverages          
30,9,Washington Cranberry Juice                                  ,49395100474,49395100474,2.42,2.178,Pure Juice Beverages          
30,10,Washington Apple Juice                                      ,22114084362,22114084362,1.42,1.278,Pure Juice Beverages          
52,11,Washington Apple Drink                                      ,17074288725,17074288725,3.51,3.159,Drinks                        
35,12,Jeffers Oatmeal                                             ,49031038880,49031038880,1.54,1.386,Breakfast Foods               
35,13,Jeffers Corn Puffs                                          ,13229009509,13229009509,2.65,2.385,Breakfast Foods               
35,14,Jeffers Wheat Puffs                                         ,92942813038,92942813038,1.93,1.737,Breakfast Foods               
35,15,Jeffers Grits                                               ,26378549933,26378549933,2.29,2.061,Breakfast Foods               
62,16,Blue Label Canned Beets                                     ,62908702492,62908702492,3.83,3.447,Vegetables                    
62,17,Blue Label Creamed Corn                                     ,79484335780,79484335780,2.99,2.691,Vegetables                    
62,18,Blue Label Canned String Beans                              ,85252254605,85252254605,2.67,2.403,Vegetables                    
58,19,Blue Label Chicken Soup                                     ,47163524031,47163524031,3.19,2.871,Canned Soup                   
62,20,Blue Label Canned Yams                                      ,22169209122,22169209122,2.78,2.502,Vegetables                    
58,21,Blue Label Vegetable Soup                                   ,43318244814,43318244814,2.33,2.097,Canned Soup                   
62,22,Blue Label Canned Tomatos                                   ,77561696171,77561696171,2.29,2.061,Vegetables                    
