PRODUCT_TK,VERSION,DATE_FROM,DATE_TO,PRODUCT_ID,PRODUCT_NAME,PRODUCT_DESCRIPTION,PRODUCT_DELETED,PRODUCT_MAINCODE,PRODUCT_PART_NUMBER,PRODUCT_TYPE,PRODUCT_UNIT_COST,PRODUCT_CURRENCY_ID,PRODUCT_UNIT_PRICE,PRODUCT_URL,PRODUCT_IMAGE,PRODUCT_CATEGORY_ID,PRODUCT_CATEGORY_NAME,PRODUCT_CATEGORY_DESCRIPTION,PRODUCT_CATEGORY_DELETED
0,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,N/A,Not Set,Not Set,No,Not Set,Not Set,Not Set,0.0,Not Set,0.0,Not Set,Not Set,Not Set,Not Set,Not Set,0
1,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,1,Washington Berry Juice,Not Set,No,90748583674,90748583674,Not Set,2.565,N/A,2.85,Not Set,Not Set,30,Pure Juice Beverages,Not Set,0
2,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2,Washington Mango Drink,Not Set,No,96516502499,96516502499,Not Set,0.666,N/A,0.74,Not Set,Not Set,52,Drinks,Not Set,0
3,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,3,Washington Strawberry Drink,Not Set,No,58427771925,58427771925,Not Set,0.747,N/A,0.83,Not Set,Not Set,52,Drinks,Not Set,0
4,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4,Washington Cream Soda,Not Set,No,64412155747,64412155747,Not Set,3.276,N/A,3.64,Not Set,Not Set,19,Carbonated Beverages,Not Set,0
5,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5,Washington Diet Soda,Not Set,No,85561191439,85561191439,Not Set,1.971,N/A,2.19,Not Set,Not Set,19,Carbonated Beverages,Not Set,0
6,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6,Washington Cola,Not Set,No,29804642796,29804642796,Not Set,1.035,N/A,1.15,Not Set,Not Set,19,Carbonated Beverages,Not Set,0
7,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7,Washington Diet Cola,Not Set,No,20191444754,20191444754,Not Set,2.349,N/A,2.61,Not Set,Not Set,19,Carbonated Beverages,Not Set,0
8,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8,Washington Orange Juice,Not Set,No,89770532250,89770532250,Not Set,2.331,N/A,2.59,Not Set,Not Set,30,Pure Juice Beverages,Not Set,0
9,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9,Washington Cranberry Juice,Not Set,No,49395100474,49395100474,Not Set,2.178,N/A,2.42,Not Set,Not Set,30,Pure Juice Beverages,Not Set,0
10,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,10,Washington Apple Juice,Not Set,No,22114084362,22114084362,Not Set,1.278,N/A,1.42,Not Set,Not Set,30,Pure Juice Beverages,Not Set,0
11,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,11,Washington Apple Drink,Not Set,No,17074288725,17074288725,Not Set,3.159,N/A,3.51,Not Set,Not Set,52,Drinks,Not Set,0
12,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,12,Jeffers Oatmeal,Not Set,No,49031038880,49031038880,Not Set,1.386,N/A,1.54,Not Set,Not Set,35,Breakfast Foods,Not Set,0
