ACTIVITY_DURATION,ASSIGNED_USER_TK,ACTIVITY_PARENT,ACTIVITY_PARENT_OPS,ACTIVITY_DATE_TK_RAND,RAND
15,10,7366,274,645,2
90,16,8114,297,705,2
15,11,8292,230,531,2
15,17,7458,331,397,2
75,22,7793,285,693,2
15,1,7220,294,711,2
15,13,9079,207,716,2
15,23,8606,240,691,2
15,6,9167,297,469,2
90,21,7124,290,513,2
60,13,8185,264,516,2
30,23,9579,257,622,2
15,16,7573,310,413,2
15,16,8010,321,501,2
30,9,7563,213,726,2
45,7,9655,272,569,2
30,4,8814,344,724,2
105,7,7659,300,467,2
15,23,9126,211,557,2
15,9,9047,243,421,2
30,13,8555,204,727,2
45,23,9449,255,680,2
15,15,7339,297,657,2
60,19,7979,280,434,2
15,6,7682,200,496,2
120,21,8011,240,602,2
15,17,9013,311,575,2
45,11,7429,230,606,2
15,4,8785,254,581,2
60,7,8345,340,481,2
45,16,9186,242,396,2
30,16,8928,338,368,2
75,4,9562,217,586,2
15,13,7818,299,669,2
15,4,7959,250,709,2
15,9,9244,305,388,2
15,9,7340,344,513,2
30,8,9889,307,678,2
60,5,8548,323,556,2
30,3,8412,212,546,2
30,15,8873,264,448,2
120,18,7061,335,551,2
30,21,7861,288,459,2
75,7,8770,216,435,2
60,23,7682,292,453,2
30,21,8146,338,569,2
60,10,8198,344,723,2
75,13,8829,224,405,2
15,12,8042,256,708,2
75,22,9528,322,604,2
15,15,8690,250,417,2
30,17,9519,337,561,2
15,15,8065,336,618,2
15,16,7154,206,430,2
15,11,7082,279,413,2
15,15,9853,333,711,2
90,7,7172,287,685,2
15,23,7986,200,669,2
15,10,9098,203,387,2
75,16,7686,243,453,2
15,12,8700,311,593,2
15,12,9493,333,372,2
105,22,9941,297,680,2
75,1,8303,216,473,2
15,15,9838,248,589,2
15,11,9074,339,382,2
120,15,7654,299,375,2
30,21,9148,347,436,2
45,17,9752,294,369,2
90,22,7363,343,458,2
15,15,8151,300,450,2
15,10,8087,224,676,2
60,13,9332,322,520,2
30,14,8406,324,638,2
15,2,7464,218,412,2
15,14,9145,228,496,2
15,5,8557,341,623,2
30,19,9994,254,587,2
15,5,7124,300,730,2
15,12,7271,340,394,2
45,13,9334,302,640,2
15,9,8703,264,725,2
15,3,9683,346,634,2
15,17,7650,340,724,2
15,22,9390,258,397,2
15,20,7719,301,672,2
45,8,7518,273,570,2
15,6,8295,234,490,2
15,21,9430,346,536,2
30,10,7368,323,678,2
45,17,7393,319,381,2
90,15,9457,345,661,2
15,1,8069,218,475,2
15,12,9179,259,533,2
15,22,9373,316,570,2
90,3,8173,221,668,2
45,23,7324,225,694,2
15,3,8919,316,468,2
15,6,8636,281,639,2
45,20,8059,210,520,2
120,16,8044,289,641,2
15,1,9879,243,690,2
45,16,9798,226,472,2
15,12,7219,321,495,2
90,4,7128,331,452,2
15,14,9466,329,652,2
120,13,8211,200,396,2
15,17,9299,230,434,2
45,1,9010,339,616,2
30,2,9445,291,649,2
90,6,7221,287,549,2
15,3,9093,262,383,2
90,13,9224,330,440,2
60,1,8038,235,614,2
30,19,8749,312,391,2
45,21,8410,341,537,2
15,20,8885,217,635,2
15,1,9568,308,730,2
45,14,7500,223,493,2
15,9,7531,315,612,2
15,16,8815,261,671,2
15,4,8902,298,659,2
15,5,7214,316,669,2
15,8,9252,306,545,2
30,15,7862,280,372,2
15,5,9837,287,562,2
15,2,7398,260,395,2
15,4,9314,350,674,2
60,6,9828,344,553,2
15,12,9589,294,672,2
90,10,8048,263,436,2
15,16,7827,210,699,2
15,13,7488,220,706,2
15,20,9852,285,651,2
15,10,8701,340,482,2
60,15,8034,249,679,2
15,11,8362,268,597,2
15,22,9203,224,593,2
15,23,9066,231,690,2
15,7,7375,310,390,2
45,18,7625,244,537,2
45,4,9898,218,479,2
90,19,9391,244,481,2
15,17,8582,269,622,2
15,17,8618,301,600,2
45,16,9718,333,487,2
30,2,9080,350,414,2
15,14,7559,307,586,2
90,5,9701,200,451,2
15,3,8508,236,687,2
30,17,8535,305,609,2
15,19,7875,330,598,2
30,3,8673,244,385,2
15,18,8239,306,478,2
30,17,7122,226,687,2
75,20,7344,346,378,2
15,1,7704,306,723,2
15,23,8316,252,579,2
15,7,9027,219,384,2
15,9,9310,282,487,2
30,20,9018,252,520,2
30,3,9321,269,498,2
45,13,7517,253,617,2
45,19,8524,293,368,2
120,18,9958,280,406,2
45,1,9121,257,421,2
30,12,9700,284,710,2
60,5,7713,305,380,2
90,21,8201,309,587,2
30,13,9768,294,497,2
90,22,9677,216,676,2
30,3,7333,344,708,2
15,21,8259,326,379,2
60,13,7775,346,580,2
75,16,9515,220,680,2
30,17,8280,326,578,2
45,21,9911,221,402,2
15,3,9461,241,532,2
45,1,7337,293,662,2
15,16,7596,226,512,2
105,18,9730,224,631,2
15,22,7534,230,546,2
15,7,8516,259,710,2
15,7,7080,267,416,2
15,12,6900,147,273,2
30,15,2915,131,226,2
30,4,4280,104,14,2
15,14,6963,170,273,2
15,12,4257,187,332,2
30,11,4949,186,61,2
15,6,2504,157,112,2
105,5,5794,124,84,2
30,5,3098,151,350,2
75,16,4712,137,205,2
120,10,5371,189,44,2
45,10,3645,125,267,2
45,14,5716,192,165,2
45,13,5937,123,25,2
45,1,6777,195,265,2
60,7,3274,196,80,2
60,10,5420,159,259,2
45,11,6665,134,269,2
90,5,5259,156,316,2
30,10,4794,120,1,2
15,11,4776,147,95,2
15,15,6324,160,133,2
45,4,2014,158,249,2
45,2,3650,146,248,2
90,4,4838,170,215,2
45,7,5221,182,155,2
30,6,5265,115,261,2
60,7,5769,150,326,2
15,10,5073,195,189,2
15,6,5165,187,331,2
30,1,6803,174,309,2
30,1,4210,156,132,2
15,2,6059,155,111,2
45,1,2643,194,172,2
15,3,2124,115,259,2
15,13,5505,185,317,2
75,6,3382,165,117,2
30,4,4696,155,259,2
15,10,6508,145,209,2
105,10,3249,112,290,2
75,1,5273,148,109,2
30,13,2648,196,1,2
90,12,3147,187,83,2
15,13,4289,197,269,2
15,15,5242,195,223,2
15,4,3758,120,69,2
15,13,2666,124,217,2
45,8,6702,150,108,2
45,8,5928,145,285,2
45,5,3079,130,176,2
45,6,6510,112,104,2
15,10,3937,134,327,2
15,6,6703,168,314,2
30,8,4661,149,224,2
15,2,6248,187,251,2
90,8,3922,151,132,2
15,16,3158,151,67,2
15,3,6278,197,231,2
15,16,6964,169,190,2
30,15,4790,200,212,2
30,5,2598,179,156,2
90,11,6900,102,106,2
75,3,3272,150,102,2
30,2,6815,117,221,2
120,11,4245,179,363,2
15,5,6571,114,153,2
105,9,2119,167,25,2
30,15,5254,100,69,2
45,3,5484,110,237,2
15,14,3473,118,175,2
45,14,5483,144,291,2
60,12,6465,165,120,2
30,6,2209,193,194,2
15,11,2103,151,155,2
60,11,5990,145,65,2
30,6,6458,157,92,2
120,10,4340,121,207,2
60,3,6962,183,190,2
75,15,3989,150,19,2
75,2,2275,115,163,2
120,15,3446,189,108,2
15,11,4536,154,135,2
15,9,3577,184,89,2
30,5,4125,138,188,2
60,5,3444,166,109,2
30,5,3891,191,111,2
15,2,2533,101,39,2
60,15,4600,189,212,2
45,6,3917,110,76,2
90,2,3522,115,364,2
30,6,3493,193,313,2
15,6,3796,159,4,2
45,16,3064,124,59,2
30,11,5637,163,305,2
30,12,3166,188,298,2
15,9,5307,186,274,2
60,12,2534,137,255,2
45,16,2692,183,252,2
45,11,2784,131,353,2
30,6,2660,122,132,2
15,6,4053,185,41,2
15,14,6529,180,130,2
60,3,4205,182,328,2
45,8,4864,106,124,2
15,12,2786,157,151,2
15,10,3590,200,183,2
15,2,6265,112,101,2
15,5,6136,161,98,2
15,7,6054,122,29,2
15,5,5142,160,212,2
15,9,4853,104,116,2
45,8,2132,169,129,2
15,5,6903,107,244,2
30,7,3148,164,264,2
30,7,6295,189,335,2
30,4,3888,177,135,2
15,14,6768,199,254,2
15,12,5274,170,236,2
30,16,4247,123,186,2
15,12,6176,172,168,2
60,6,3645,104,225,2
15,2,4730,157,151,2
15,10,5523,198,175,2
15,10,3236,153,60,2
15,7,6043,154,208,2
15,12,5256,193,363,2
45,4,4667,151,208,2
15,7,2984,164,33,2
15,14,4720,118,331,2
15,9,5611,138,129,2
15,1,5452,131,174,2
15,1,5671,103,353,2
105,16,2345,127,345,2
15,8,5524,105,148,2
15,3,3277,174,348,2
15,9,5312,138,205,2
30,14,6767,183,345,2
60,14,5472,112,312,2
45,4,5931,108,154,2
45,16,4363,178,57,2
30,8,3756,110,38,2
120,7,2960,113,276,2
15,9,6325,173,278,2
15,9,2190,116,228,2
15,5,3638,103,337,2
90,3,7273,251,656,2
30,16,9415,318,501,2
120,11,9844,271,701,2
30,12,7653,207,612,2
45,14,7277,286,403,2
15,15,9175,288,689,2
15,11,9005,200,556,2
30,19,7125,288,582,2
30,7,9436,345,419,2
90,3,8210,341,699,2
45,9,9556,321,566,2
15,2,9164,232,704,2
15,7,9694,202,588,2
15,9,8924,247,392,2
30,3,8923,278,476,2
30,11,8666,248,423,2
15,4,8815,325,460,2
30,1,9536,309,489,2
15,22,8911,265,576,2
15,8,7086,331,720,2
60,2,8931,336,631,2
60,10,7713,336,611,2
60,23,8235,286,483,2
120,22,9822,322,404,2
120,17,9149,338,688,2
15,18,9481,334,480,2
15,18,8777,206,614,2
15,21,7159,332,391,2
15,10,7628,229,475,2
15,23,9677,292,514,2
15,15,7181,290,553,2
15,12,8508,218,606,2
30,10,8630,279,454,2
45,13,7518,212,427,2
60,10,8307,292,473,2
15,11,7195,260,682,2
45,4,9011,334,706,2
15,3,9070,229,700,2
15,12,9404,200,384,2
30,12,8910,306,535,2
15,5,9889,262,426,2
30,19,8790,289,671,2
15,17,7975,225,689,2
120,16,9539,311,536,2
15,18,9075,212,628,2
30,23,9367,313,575,2
15,15,7262,256,416,2
15,12,8052,292,721,2
15,21,9114,294,568,2
30,22,8209,243,705,2
15,22,8001,270,636,2
15,6,9822,315,569,2
15,12,7912,218,590,2
45,14,9373,313,464,2
15,20,8702,339,672,2
120,17,7217,345,571,2
15,20,9759,230,714,2
90,10,7382,308,427,2
60,10,9730,207,368,2
60,18,7513,315,689,2
30,1,7426,339,488,2
15,9,9817,225,701,2
60,10,8639,205,686,2
30,13,7327,290,435,2
15,7,8464,267,425,2
45,8,7818,237,502,2
120,17,7677,291,437,2
60,16,9455,226,406,2
15,20,8475,272,605,2
15,1,8083,316,388,2
60,9,7365,208,371,2
90,3,9517,342,580,2
60,4,8313,312,371,2
15,5,8021,272,576,2
60,19,9440,337,702,2
30,3,9167,340,396,2
30,3,8863,252,389,2
75,3,9614,347,582,2
45,2,9851,263,367,2
30,20,8448,349,712,2
15,13,8267,216,688,2
15,16,7048,235,578,2
75,20,9110,331,452,2
45,17,8160,249,653,2
15,4,7245,213,436,2
15,3,7231,342,561,2
15,4,7446,283,416,2
30,2,7078,205,532,2
45,2,7232,249,667,2
60,11,7280,283,616,2
15,2,9480,237,568,2
15,18,8947,275,495,2
30,17,8104,319,400,2
15,12,9122,265,625,2
15,3,9168,233,657,2
60,11,7348,319,550,2
15,6,9381,289,612,2
15,16,9080,322,434,2
15,20,8951,221,498,2
15,11,8950,231,626,2
45,1,9904,312,378,2
15,1,7511,316,387,2
75,22,7365,296,491,2
15,10,9931,327,566,2
15,12,7092,320,419,2
15,11,8229,340,603,2
60,4,8755,341,651,2
30,23,7056,300,478,2
15,5,8230,267,586,2
15,6,8182,262,389,2
15,6,7690,205,715,2
15,17,8992,332,663,2
30,21,9975,222,441,2
15,18,8797,273,617,2
15,17,8507,280,485,2
15,2,7582,266,439,2
15,20,7755,337,585,2
15,20,8807,290,697,2
15,20,8210,322,449,2
15,12,7595,322,623,2
15,17,7626,313,575,2
30,11,8641,224,500,2
15,12,9527,227,524,2
15,22,7296,296,606,2
15,9,7688,233,680,2
45,4,9273,262,537,2
15,16,7288,331,694,2
15,20,7458,255,607,2
15,7,9098,286,667,2
15,12,8021,337,424,2
15,2,9230,272,554,2
15,21,9327,342,679,2
15,17,8978,314,484,2
75,21,9692,283,378,2
45,16,9393,319,392,2
90,20,9848,333,517,2
30,23,8642,329,642,2
30,6,9386,293,527,2
45,18,8638,280,590,2
