CASE_ID|CASE_TK_RAND|CASE_CREATED_TK_RAND|CASE_MODIFIED_TK_RAND|CASE_CLOSED_TK_RAND|ACCOUNT_TK_RAND|ASSIGNED_USER_RAND
04D7E2BC-8F16-9D3D-02AE-B32221876BB6|1|629|429|673|11|1
5985B26B-620A-4E4E-DC4D-160D3754B6BB|2|95|309|169|31|12
BA50FE20-FD1E-C3C3-19B0-17C66528BC38|3|215|597|615|83|11
CF5306B7-DF7A-8F56-F552-57D2CE47A7B4|4|358|40|159|96|9
03735859-A94F-5BB9-5A82-B79E27173E0D|5|662|384|236|37|19
D1EC5AFD-E7DA-6B6B-08CA-4FD818476EB1|6|201|244|283|16|12
2D816F64-031A-9339-CAD2-149067AABE58|7|381|292|292|14|4
EF530157-FE57-8089-5E70-9F1D3C298533|8|294|558|57|45|18
656CE867-8197-8270-D571-394BE13FB5C9|9|728|563|434|20|14
4F528694-CD41-BD63-E657-823B1F54A922|10|376|381|370|83|20
D6DDBF87-8BFF-32E6-1395-0D8433B0109B|11|316|114|399|56|1
FBFAE4FB-7371-BEC0-7266-76B28E086433|12|565|666|16|3|15
ED0EA276-CBB6-F152-A9B7-980ECDD5F0DA|13|393|420|238|82|4
D71DD825-2AFD-3105-45CC-B92EFF7788A0|14|348|641|358|44|15
A4CF23D5-D6EE-8545-4B65-C6C6B93681CD|15|395|418|403|48|4
3E100224-3AE0-4F07-297D-450E0FBDE05C|16|692|503|648|42|8
12A253E3-188A-32CA-3871-3890F6A014D8|17|372|153|576|51|6
4E8203E9-F294-7C2E-8CDA-B121822FEA22|18|411|346|450|66|11
000EC2FF-A852-22FE-688A-9E1C06DEA792|19|653|293|187|10|7
1671F8CD-A36D-2F9C-9285-BA0FAFB7ABF5|20|647|531|331|39|17
0C15B8C2-ACB8-C5B4-C083-233781F39392|21|415|312|241|77|2
42B87893-585A-4689-6FE5-5B7322024D24|22|79|353|369|26|6
BEF99845-4572-C120-BB38-75EBFA718747|23|593|209|16|24|11
DFFB8678-AB9F-1390-77F1-273D86D15C40|24|448|461|231|76|12
18ED630B-D050-0A2C-A9E6-71549B903603|25|705|357|498|3|9
0F25E066-B0C6-648B-F70C-1B55C1AA2259|26|481|300|444|58|8
DE341CF8-5598-B45B-CD26-9D51557DD994|27|540|384|445|3|15
881682E8-C9C9-0DAB-5639-14B9827832E1|28|134|610|612|65|14
218E991E-C118-34C8-D548-554F123D892E|29|274|167|533|31|15
CBFCFE4A-812A-FD41-AE1F-72444369B33E|30|124|696|558|30|18
C8DD0E2C-9787-9F3A-9183-2B384CF5D065|31|376|516|61|6|16
852A68B1-7C1A-540A-586D-3E0259890667|32|407|20|193|3|16
E9F3BEA0-D5FC-35EE-D202-43FD83319BAA|33|476|482|706|11|3
FA04867D-BAF4-91EA-F758-EC62E4E70C32|34|704|583|265|100|1
9F6B1507-8609-C69F-E863-F88E0D85C498|35|503|20|699|65|15
4DB6A8A4-21F6-C84F-40EB-D7BBF19CDF3A|36|553|163|164|6|15
B42145D9-7BC4-B90F-3737-A25709FD705C|37|468|694|525|56|14
E0EC8B88-4AC0-627D-8C8E-713D5182DB8D|38|633|386|81|41|12
AAEAEB41-7EAA-1853-18D8-4DB783BBDC2F|39|1|645|614|31|16
2043ED10-E0E3-4A2B-B2DF-61B2EB1FCE0A|40|730|424|401|78|10
A4C98174-AA90-E76E-DA25-147CEFD4A95C|41|100|189|562|12|11
32BF0A60-FEF1-2275-B3B8-52F4D8EB04B1|42|501|277|459|65|1
6CFBA415-B01D-E2B6-D5A3-6E30E57F0516|43|700|38|496|91|5
3218B477-4119-421C-BFD3-775FE1519E64|44|444|291|402|47|13
2F3533B8-C014-B05E-9585-4BC1C36AF403|45|435|275|211|69|6
6E061807-0F38-2F69-4C95-EF6674B6A33F|46|300|393|269|67|3
B4EE9202-28A7-1E8C-FA00-8C8ECB6804FB|47|441|96|609|29|17
15ACD1E8-32AB-8B64-9C07-F47796B8D2CE|48|530|21|386|76|3
FDFAB886-06BD-6ED1-7348-2369E533449D|49|663|657|263|2|13
F9DB22F6-5370-99D4-6FDB-F475BB25AB86|50|638|633|202|21|13
6CC67285-FBE1-828B-4846-F88DF4F7D6D2|51|314|461|652|81|4
815A4342-72CA-784C-714E-78E39D952AD5|52|721|555|544|81|2
192A6D09-E484-F025-C5C6-AF8543AA31EA|53|265|262|17|87|12
7AC99DC5-A9E4-B376-27A7-CF0212222008|54|36|725|681|83|14
E4B2CA7B-760A-45DF-2A08-E0F06098EAE3|55|75|149|68|20|6
73DDC222-02A9-9865-BDAA-0377B65EB664|56|483|709|371|58|9
EE8C81AF-CEDE-B5E2-53F4-CA25A6EE2B82|57|706|135|539|56|2
71DE473B-5286-9B04-F3EB-36297531574F|58|722|652|413|11|10
D5D613A1-ABEB-77B2-2302-57E405EA6E02|59|582|542|706|60|11
09E6DBCF-3506-0B03-5902-412C26FEC9A3|60|102|549|605|49|5
C18D4E81-70E3-F885-A27E-C7226550C19F|61|50|386|658|60|12
D67D2E6D-C2BC-6DF6-868C-32F31E62B712|62|545|231|569|62|15
3C182DF0-C367-34C0-7F3E-7E771AF50A31|63|269|19|578|57|10
3C2240C5-F4C9-5BFC-EC04-EED01BACF356|64|360|13|289|5|16
53608DCB-3133-32C2-B867-926E063B7F2D|65|691|631|486|19|8
DED57523-7220-9339-BA8E-D8672679B4F7|66|389|628|169|43|8
5AA66EBE-EF99-CED5-7C9E-F30BFBCF8964|67|240|251|159|5|9
32D88245-FDB4-0EA5-5131-886697DD537C|68|241|607|633|43|5
F4BFE84B-22E7-5E61-A0F9-545952B08F61|69|605|29|526|84|16
6E0357AC-67A3-0141-742C-EC44F0395353|70|411|292|401|46|10
1093BB79-E707-B2B2-ACE3-95013769E69F|71|459|350|55|84|15
0AA7ECAF-49CB-1384-9DD1-A2B2A33B167B|72|90|86|14|5|1
2D4DED02-3919-9EFF-65A2-E142AB6D4DA6|73|281|107|713|3|20
F2F27045-52FA-340F-57B1-71B9C69FF035|74|167|408|318|36|8
93C6D648-C91B-ADCA-7137-E2CB030232FF|75|101|308|117|2|11
B6843AF6-AA9B-323E-0B11-CE5BF689EAFF|76|620|391|649|83|20
BBD1117F-46B0-2D57-5C82-C1C6BAF7894B|77|604|330|292|34|15
6798571A-7520-024B-3CB3-9C0AF58A869E|78|152|504|564|87|10
8F47978E-7383-45C7-C2B6-60CC7E5841E1|79|727|266|590|90|3
EF7A5EB5-B5D2-7908-C646-4D84D62A3B62|80|659|383|47|75|11
A7DA5394-16F1-3897-442E-A418D4C725D1|81|328|307|287|69|12
3DC8303D-5525-3EA2-951A-9B6EEF6614A5|82|140|470|471|84|4
596FB390-18F7-9116-3318-CE6CEA9EE654|83|598|71|170|22|15
F38A6B28-F43F-0517-3FDD-F223A88FB9BE|84|399|9|595|64|19
C9C3D3D0-8806-8259-8BB8-C222ECB5B93C|85|32|506|678|99|11
C98AA995-34CB-7A8D-C71B-D21EE6589279|86|288|658|95|16|17
CE6677DD-F45E-D84C-FDB6-0495E125B665|87|672|17|221|100|11
602762F5-E6D2-6B6A-994C-0891B2DD28C2|88|597|244|633|70|10
2F553D97-421E-5679-B15A-1EE855A59570|89|139|86|111|7|11
96CF3416-99C8-B5D8-21F5-2833759CFA6D|90|401|369|711|38|12
18D34972-4D6F-53A0-FD90-7357EEECED7F|91|148|120|657|56|12
21C57ABE-A1E2-C337-4C5D-2ABAC3018D53|92|722|294|233|11|1
F8AA2F27-9DEB-93E2-2AD4-E26808D19A5D|93|670|481|495|69|14
B653BF7B-BF92-9BD6-71C0-4719EEE2D7E9|94|263|37|628|74|2
2DCB9FD9-4164-CFC6-A042-2F26C49C813D|95|209|650|269|94|16
33F9019E-4D2C-DA2D-12DB-DAC31D112693|96|346|189|286|19|1
DF4A53B0-51A8-B741-A41C-5B3F51EEF7C0|97|599|439|244|24|11
09F69DCF-C9FE-CB79-318A-597B74963899|98|594|119|553|68|7
63A5F607-E5AC-E05E-B384-FB287E0BC3F1|99|486|553|245|87|2
708E20B9-ED8D-5587-F0FC-30EA64CFD8D6|100|418|534|322|49|6
B8EE0027-3E01-15F3-B44F-892117FDF298|101|350|528|292|18|18
03EF61A0-46BF-5922-059E-5047197DA019|102|378|619|26|46|6
7A671546-E608-A40D-3497-D24E5776E092|103|574|514|336|88|18
8CA067D5-298A-ED2F-CD08-B537657F4447|104|432|354|723|28|6
FA015887-F3F0-5820-4F63-D17C40262E25|105|217|422|713|97|12
506EEF4D-A61A-CCEF-18EF-A70D435325BE|106|55|457|658|54|17
6DCBD41F-DF63-423F-75D0-E862F495A4C3|107|17|84|295|48|4
A4C0388B-C5C1-B18C-3C2F-C6D17E516A2B|108|110|121|579|56|7
C388CE77-EBDA-EB0E-F924-25DDC64B2DC6|109|207|670|588|63|16
223BADA9-038B-F42C-1E75-5C8A73251AA3|110|325|504|673|42|1
0993F0C7-84D0-2B7E-3A9E-B412FA5BDC9A|111|321|255|410|39|3
8DED7268-873A-23A3-F3AE-0AB418D572CA|112|547|57|399|67|12
419FA45D-5992-BD61-23D4-AC95BE9DAEC4|113|576|3|433|55|10
8436C9CD-224D-A718-225D-D70538C560DF|114|408|241|222|6|3
75104448-6EE8-8E05-87CF-29DC7D38B774|115|537|392|142|9|4
81C06A1A-6C9E-6810-4E26-B9A809B0B6C3|116|270|583|673|4|4
CE046B98-F1FB-7658-0B76-45C14EFDFFA4|117|344|176|337|93|20
D529C685-23A6-B20F-CA7A-F96AAB0F63FD|118|497|229|647|57|16
CEA73236-E4E7-60D9-E603-D91DA4EE321D|119|709|465|676|43|4
7374A77B-9E55-5DF8-0A52-90784ADBDF6C|120|17|343|173|65|19
0084D603-22DC-DDF9-D183-663FC8051E85|121|231|358|19|30|9
66B2E3E2-F811-9E1A-12B4-743CC005CE2A|122|187|464|282|24|17
E4612B5B-D83D-1AD1-08C9-0D5357F04EE4|123|181|507|391|76|4
67674100-D010-ACDC-CC92-9E2FDE8EF306|124|636|372|186|1|3
39F864C2-985F-4CE5-E8A6-C6862A97986F|125|335|641|296|1|1
C4A472F3-FA07-3DC9-A0CA-7782BC4E99CD|126|168|664|391|57|10
96D27ED6-B2DB-8BE9-67E7-A33398076525|127|294|700|159|4|4
9EFAEE88-D578-17AB-ED4C-5F34E2BF16E7|128|4|598|565|48|19
24DEDAD1-1002-3E31-59D8-D18C9A0C3B45|129|138|585|125|20|6
A477A7CA-C35A-F832-7E3D-20E71605C578|130|660|267|662|79|14
33A0C840-75E2-1A76-90A1-EB83B59A7C96|131|294|70|2|49|18
F8E3D5F8-E3AD-D454-E90C-A234F461FFAC|132|154|467|716|62|2
395E3B02-052C-FB05-6FD4-2AFB8785052A|133|213|449|129|48|9
A9D1342A-5ACD-B13F-F072-DAB9671CA3F6|134|598|409|302|23|1
0B942566-AD25-1F3B-F5D0-96F964261124|135|710|44|355|87|10
B69A1FAF-18D9-4857-16F4-BA08F21B0A0B|136|681|390|102|14|19
516E7780-672E-E255-591C-9005412582D9|137|13|294|440|16|8
6385E3E8-EC10-2C36-2188-A35E3F4961EF|138|306|306|28|94|5
D35A2DCB-0258-4B6C-72F4-2395AC3000C7|139|461|141|203|12|18
4A8B10DC-2C00-6266-74A4-4F8929579E5B|140|435|113|351|8|9
2A598042-E325-E372-2457-B8D9C93336FC|141|625|265|668|66|5
587C46FF-5229-3A3A-AF78-F088467D39B4|142|402|727|44|42|20
3C603BC1-EEB9-08AF-0864-008ACB373C42|143|395|687|349|97|18
9DB8842C-164A-2D3D-1F6B-F026370A0BE5|144|85|307|601|11|10
0BFD4205-1603-08AA-0834-B710F9D4FB43|145|536|626|125|46|19
DAAC5C39-C494-85C0-0806-2A3395F9062B|146|724|488|603|78|10
C4048A8E-CF67-3CBE-5FD0-DCEE7D8AF1F4|147|254|23|718|26|19
F211F1DE-2F98-67EB-9450-6461E7FF3F01|148|635|155|226|21|13
28A88793-6906-C154-0A21-140D680D1755|149|303|444|359|59|4
79A7A4B0-E32D-BAC6-2DF3-738E4CBF80EE|150|80|535|289|68|5
8E8EA3FF-A6ED-8151-0F49-EEB61D65F53B|151|528|64|228|3|16
369D3037-0659-7637-9FEE-048078B96068|152|668|597|645|6|7
53DC8184-0B55-5B79-F53B-2EAA14D81F42|153|466|673|161|68|14
14F06B40-FACA-D32D-F259-3C5AE990AABC|154|128|712|543|75|12
86E47C69-5738-E821-A389-C27133653FEC|155|402|613|546|33|8
CA00A896-7498-46FD-75C2-27E8A04D5D9F|156|279|622|113|82|17
CC6D9A74-7BA9-9902-9BA3-3293B4734192|157|377|504|484|29|2
5BC65AAE-D920-5EF9-2B4F-A081A01B358B|158|221|436|53|98|12
6127DC27-33B2-FBC8-BB39-F5E5D7C3493A|159|686|521|105|75|5
946916A2-BB6F-3E3E-3648-5A6E405ED7A8|160|183|270|521|44|17
17E9C782-5E13-B9D9-E775-FAFD42891BC3|161|367|280|154|2|11
933D71BE-3C04-68A7-8BEA-B09693C914D4|162|291|283|217|82|11
5FAC74EC-66CD-9993-F2F5-19F36AA0FF7A|163|415|489|101|27|8
4803DB2C-1BAA-3756-C846-881643ADE640|164|721|245|144|77|2
D19F45F8-5D04-9677-C083-D9E38B86A7DE|165|635|636|246|31|20
F7E6AFC8-C260-7C95-2D03-669041B2F929|166|562|572|390|63|7
1E6D80AD-41E6-50D0-AC7B-44717169154E|167|125|417|55|90|6
8FD29FA2-B929-DBE3-AC56-77D01846C322|168|454|386|205|72|11
9B672086-1014-2F7C-6665-7A61C1CC80A1|169|447|51|341|86|18
DD37B461-856D-24B6-6F69-1FE5EA6C0881|170|203|376|582|54|15
B959CD44-C7C8-513C-2EA6-5724D45310D8|171|124|511|677|68|9
150C5E5D-5CF2-D2B2-C6CE-B190D2AFE301|172|702|331|8|15|2
BEDC1C0A-2273-0A7A-5CBC-FA332ED7C347|173|525|49|24|6|1
4BFB2E28-835F-8163-4C88-63E744D5BA1D|174|561|315|425|89|5
F7C8DA34-2446-468E-C2A2-68264D6CDE6B|175|703|397|258|25|9
CB13559D-4FAA-C571-58F0-2515EBA9231F|176|242|706|714|35|3
E1B3FD93-0165-3391-B167-21CEF0E6B7E8|177|562|676|332|10|12
6ECE150F-3A5F-9B03-DD53-D04D9009DFF0|178|604|25|207|58|4
E334923E-CD0C-083F-9042-FAC6BF3185C8|179|689|191|325|17|4
0E1F521A-7A32-7B68-41DB-22CD5F65DB3A|180|85|299|582|61|3
C9836A3D-F6CD-0FC8-DA78-9B2C4FC6B5E1|181|186|106|435|59|16
EB9FFF6C-FAD7-866F-7525-2C1F224D699C|182|384|383|467|79|18
DAEF5397-DE2E-43E3-4105-5EF2D913F0D0|183|179|569|480|8|14
ED8264C0-21B6-E499-63FD-0DBB4AE5B456|184|234|648|188|16|2
DC00719F-B45B-1D59-C4D3-A36C4990FDD4|185|280|188|141|65|10
D7DC83CE-4AFA-6537-54C5-4220CCAD9CB1|186|247|573|220|2|10
89FBEA3E-378B-15D6-3B72-3477116AE3B0|187|607|310|671|90|11
4F742717-F358-F65E-FEA8-D5829AEC341E|188|527|342|577|44|5
07F7BFFA-671F-851B-12CF-60DADD0AEB3B|189|371|430|482|43|20
DF678F71-C4AD-8190-CC80-97A95E9E1C02|190|725|598|649|80|19
32384FD6-86A6-A7FE-A1ED-7FD71CC4FA77|191|46|517|151|34|9
C193F5D5-819A-CBBA-905B-8825BDED5E11|192|657|373|169|47|18
EC16410B-59DF-A1AB-7648-0A37B3DB40E9|193|425|270|161|86|3
5E3F7721-B4B4-BDF7-6047-6091EFF1BD60|194|411|195|357|64|12
28530BAF-C74E-DBA5-F7DF-09F7DD829D92|195|360|55|146|67|14
0367587C-3476-9541-B3FB-EAF906F4FC8C|196|632|279|71|83|2
6F03297A-4079-2F13-F1E9-3292F97D14D6|197|101|90|79|96|1
2E350B06-EC7A-3C8B-C9A4-3F98942C6B9F|198|373|722|137|9|20
0CAD83BE-811E-624E-4B20-47E2CC12E039|199|676|98|23|7|8
02152F29-C43C-89E3-7447-3A0E62B43BA7|200|203|520|645|74|2
28BA02BC-9E46-5EFC-B1DF-21D267A6FC07|201|455|582|387|75|3
C611B9B6-7568-FE1C-6812-13D9461E941B|202|352|649|554|30|18
F5662BF4-1C11-8A6D-5B7A-303770E9E3E3|203|136|536|312|47|4
4A97508D-E235-2FC7-4355-2B2D06B3A54D|204|50|363|341|96|6
CF414FC6-0FA9-A101-7900-1B2A7C09A228|205|293|5|529|53|19
7A30F04D-4A0B-E0D4-0D58-13F923B0BA9A|206|48|92|357|92|3
4F384163-3284-24C5-9DC3-DCFF33E40887|207|175|512|371|92|5
A0101D9D-2C20-FACF-5287-6EDB48941EA3|208|399|173|367|28|8
99ED3026-7D28-0130-7770-BE2D7DE61A2A|209|363|118|142|84|3
55C45EFF-EC4C-382A-B387-5D1A750C406F|210|273|173|469|53|10
3D31F4C8-175C-7E18-80D7-CB4A948CCFAB|211|658|236|680|83|11
3926DCFF-5F1B-7AF3-FFA0-23CBAD67E8FA|212|532|542|89|78|15
2D04681C-6FB4-95B5-1150-BA93F89F3A1C|213|542|657|591|52|18
AD65455E-4FF6-F958-CBFB-A70CA04CB4EC|214|192|599|658|22|5
A56BC1F1-9DE2-FF7D-D30A-E8A530444B37|215|415|291|220|92|15
3C9AFB5C-ECC3-AECF-F5DF-03EFC0D7C344|216|642|90|403|71|13
A675DCFF-FDCF-BEC0-451A-CA3E7EF315FD|217|662|174|74|26|1
0A3D90BD-98F7-8E72-5408-2D815C55106C|218|591|371|650|75|18
5EC93A26-4418-B1FA-6ECA-2765BE8FDD58|219|211|186|408|33|14
408706EA-3E5E-691B-3ED7-E2FB0931A409|220|325|581|638|10|2
78D4DEC2-96FB-F5AB-3A91-666064C2BC3E|221|448|700|279|36|5
D80EC0D8-49C5-3FE3-D7B4-010F74B7D75E|222|57|287|507|55|9
BE642914-F573-AF90-2574-EF78C0C33034|223|389|333|50|77|14
EB326808-5DE7-F8EC-8A49-AD89A70A058C|224|295|189|723|15|12
CBC99102-8E96-DE6E-A3D2-BA029A3CE351|225|379|519|102|9|16
96123E59-3B17-1314-0959-F593C8DD55C8|226|101|228|707|95|8
