CASE_ID,CASE_TK_RAND,CASE_CREATED_TK_RAND,CASE_MODIFIED_TK_RAND,CASE_CLOSED_TK_RAND,ACCOUNT_TK_RAND,ASSIGNED_USER_RAND
85A0F994-323D-30D5-3808-11771817C151,1,359,544,59,94,6
2567A121-807B-B3C9-2346-9A4C8BF36E48,2,442,548,54,29,11
64833B8B-019A-74AA-867E-1D045C2B81C5,3,477,24,20,4,8
8D64D10D-8EEE-277C-5ABA-BD663C1764CA,4,282,472,52,44,20
7205A606-7043-E157-C680-C5B5527310EA,5,236,297,26,62,17
BA896CD6-CAE9-389E-45EF-080379A9C255,6,354,614,58,21,13
FAD65DE5-B9B6-2844-3D1F-027CD3B6C4C7,7,577,86,33,68,7
C317E9E3-D79E-B66B-C63A-FE019E1589ED,8,291,588,7,35,14
FDE2A65B-8BCC-49FD-C110-EEFB7ED6EA53,9,148,469,33,96,13
C5C2930D-C977-670C-1C74-83107BE7EEA8,10,435,504,3,58,3
70B01DB7-4204-2F4F-EC0E-4CE0F34C745C,11,264,618,22,4,9
B9132631-D2BE-8143-8340-30EC48F4C196,12,457,368,32,43,8
2EE713B1-01B3-B82D-56FB-725F11A801F6,13,158,99,20,81,3
49947819-1ACF-3574-DDE7-322A408CFE76,14,296,526,3,35,1
C40B9063-385C-430B-E493-8258FB7C04D6,15,425,217,39,76,5
5D794278-75B0-5EE0-3A7B-227BFE08CF44,16,440,658,16,31,11
CCF89F8B-484E-85D8-EA64-AEEF6F7A9015,17,638,729,21,13,6
F745014D-C0B4-AA15-EF3D-0044979011FC,18,204,88,12,4,19
A926D7A7-45EF-1B11-6075-76C245FEE9E3,19,611,730,20,79,13
0EA3AD10-9CC4-D172-CFC9-268A934E8B9A,20,582,424,14,72,6
81266DFB-1234-9F24-0065-6F84D360CE72,21,395,389,33,85,8
A0257F7D-59CC-8407-C5F7-7C4CD5C53199,22,551,137,23,44,12
D2A2D6E4-7809-DCEE-968E-FE133BFDE25B,23,435,466,24,40,11
48F4B762-9611-1AA5-C364-8B9F6F65C3A2,24,196,301,18,85,3
15A5DC80-AE71-52BB-FD1B-F397C5412186,25,424,346,59,68,6
06F09FF1-9808-2076-D6C3-1B560C6D54A8,26,112,343,58,63,16
EAACCC9C-9899-11DB-9A44-4B634C0FB4B7,27,475,459,33,53,16
40BD7D59-5066-2919-F225-EE2ED0B5C5B3,28,445,154,26,52,1
5ED1E826-9CF3-6ED5-1A8B-24AF64018697,29,485,104,10,61,19
7129816D-FC87-923A-579F-D9ACE6127BA6,30,105,331,49,99,7
821EF004-8137-2A80-35F0-8366F386D9E5,31,476,444,42,64,5
F76294E3-5A1C-1121-489A-779F2FC53E3E,32,74,531,20,52,2
E104884B-9510-7BF3-934F-366E78AE362A,33,303,581,31,93,1
170BD46E-B6E7-D0B0-9DB3-773C8B9D2FA9,34,215,254,31,3,5
18F0892B-4D27-C7C7-1D3D-9477DF74FEBC,35,234,11,13,6,13
BA1F3449-268E-A6B7-2715-78D6F1D3C395,36,719,260,34,14,13
1D4F76EF-E4B0-00D1-CA7A-1EFB17B19D88,37,54,350,36,95,11
C3CD4411-BA2C-1CBA-89A4-FC3D17B53A82,38,161,633,4,67,1
882E6DA5-0A67-5A1D-CB3C-5B88652289A1,39,18,472,59,96,11
8758C8A9-DD45-4218-F4C0-51BDE1567043,40,108,250,20,46,10
7A347935-B4ED-440D-9664-6F18D8D826FF,41,84,567,52,37,20
2B8FBD8F-4EB6-4820-56CB-CAF80F72F310,42,359,388,34,2,8
2AE7702D-C4AC-CB03-A03D-321413BF7516,43,461,568,5,95,1
B1BDA2A1-E4B5-B3FA-B60D-771B8D5BB758,44,426,38,58,86,2
2F52B669-F96C-C95E-C62F-51FBC2A17501,45,124,652,27,31,1
09F6FD83-810D-6316-AEA6-B090590652E7,46,42,554,20,11,4
7223D190-9C3C-A5F9-4EFD-B2E860FF3A4E,47,657,222,4,70,10
5DF5331A-BCE3-8361-8BA2-C325588C8E9E,48,510,592,14,81,9
0A344730-D613-CBFC-91EA-6F3D37A74CB2,49,637,98,42,100,9
2769ECAE-3E01-A8CB-E282-CA12BFBD997A,50,329,314,2,99,16
CF2B34E5-B68A-717D-5723-7E9FF737D347,51,419,700,20,8,16
4AC57ADE-65A7-944F-9289-8E41A830665F,52,270,634,26,60,3
5C5D0F19-C3D1-8640-D0C2-A44FB517B5BA,53,590,56,56,63,10
E1EB0179-0186-410D-B6F1-D4B1123A97D6,54,109,556,16,83,15
F36DDBF3-CBB2-7130-F61D-E01A3385CCF5,55,551,117,35,53,12
2388BD8E-A1F5-C23C-DEA7-D6882DF93E4C,56,275,675,47,22,9
89A70892-2F98-D975-D332-952C69B82DC7,57,190,676,37,26,20
AFF856F6-679C-16C6-CF42-9AD4157F5C2A,58,318,268,58,62,16
4440F1A7-D0D7-3189-74F4-94EE622A3BB1,59,216,346,1,64,11
C4C0BA02-F051-E7F3-BF32-AF44FA041080,60,465,221,49,96,1
B8DD839E-F2BD-E36E-5F1D-7C6DF702A4E1,61,449,488,9,93,16
09648827-D08A-07B6-EE6B-601779101BD4,62,481,370,8,18,20
41AF0AF2-87D0-1C39-B102-3CDE14C0ED64,63,721,139,49,7,17
C5B0616C-A835-754F-98D9-866F68868C1B,64,265,481,45,10,18
9447B51A-06C8-0359-E4B6-26C59816BC1A,65,143,298,54,3,16
6AF71CEE-0B89-556D-DF86-EE8E0EDC17C4,66,212,307,1,95,11
431139F3-08E3-FF2D-F408-2F9330B64F3F,67,242,538,56,23,5
61079337-3D86-6454-3751-64FADE3781F3,68,294,607,29,4,5
D7DBD9CF-5524-547C-01D9-7535BB57ADEF,69,545,144,46,29,5
F2FA892E-0FDE-20E4-4967-CE307CECE7B5,70,305,288,17,61,17
F0CE7A9A-28AD-CAB6-34D1-8913EDC5C2AE,71,444,344,45,8,13
109F9C80-C419-6FC1-CD0F-FD9C91DECDC7,72,687,16,16,24,8
A530B937-2A75-CBFF-DE57-14BD181D730A,73,218,418,1,42,2
0593C4BF-A37C-62A5-6A2A-DDD4B0C2240E,74,548,157,24,29,11
5662C44F-0FDD-3224-8C8D-38AD1F464BBD,75,572,453,42,1,5
BC2F5E1E-A52B-5DD3-6D41-CD0047947F54,76,409,690,28,69,4
921E2496-ED29-545B-F585-E587675E72B2,77,508,83,53,100,18
E4E8B85F-9235-CB3A-DF22-2C6C268407EB,78,701,45,10,47,1
A658675E-918B-DC1D-2601-73324A5DB50C,79,167,147,50,22,9
1C68387C-94FA-E60A-C2B5-864DDCB484EB,80,260,234,20,33,18
832D0E56-E690-0878-6536-B999112C9B90,81,181,702,36,92,19
E421A755-7B04-F9CB-4A7F-2A90078143B5,82,513,246,20,67,14
EC59C8EA-787C-6B0A-3FCE-118F5827308F,83,184,532,9,10,15
52C928B4-D6D3-1711-E0D1-4B56F0F5C7F6,84,529,65,45,94,4
E6925E32-0A00-CDBE-AA8D-65C0C41C8340,85,145,223,12,39,5
44514250-B2E0-1EFF-967F-C937857D215B,86,317,74,19,95,1
DEEBAAF8-32B3-5882-8FBD-29DC2341CF26,87,79,583,37,57,4
36B8ADD0-E6E5-672A-ECDD-A709906F9498,88,456,277,15,9,5
4ABC6D91-ABD1-FF32-6776-E4A674D5C2F0,89,381,254,57,76,14
5913B252-2F8A-1BE6-B752-8CDBF44DF22E,90,639,125,46,87,9
E79E2B47-719B-A546-3F5F-4F3FEF9ABC69,91,251,309,15,88,12
F7585F6C-97F2-8CDF-4322-7398EB4D4A02,92,34,699,13,38,4
7B1C27EB-C069-8D53-945A-AD4A6D94B1D4,93,629,482,17,70,15
F9A45221-6530-D3FD-4836-135F4FB74211,94,276,30,41,92,2
20F30DC8-D907-66E9-3D5D-AA371D4F8541,95,546,346,58,54,1
2DC49862-8644-C20F-07E0-701D489923A7,96,534,269,18,45,16
FEECD134-E019-349E-6F15-EC9C38851FA0,97,505,23,28,33,3
12043690-433A-D341-CC83-6B74B3FD46E9,98,366,290,15,18,1
50101BA8-8015-E24A-1DB5-F7D188DA42C0,99,598,576,42,25,14
5550FE2A-E6AD-2B8C-030C-5CB4820DC107,100,271,78,20,47,5
8F1B0467-B104-E0AD-6119-8C947F186D08,101,696,700,28,61,15
14F6B6D7-2A81-38D0-6964-F562D722E082,102,114,43,39,78,13
C7D16D38-A642-B76E-0B71-D6E5CBBF9E45,103,170,526,23,9,4
10182470-8EA3-B767-230A-56E6F92AE070,104,688,217,44,55,19
77C65652-4E5A-1864-6250-E7C5AFB0C892,105,445,688,29,52,4
8FC2345D-4CFD-45C6-F887-7B9FF74BC3A0,106,5,297,50,33,17
