CASE_ID,ACCOUNT_TK,CASE_TK,ASSIGNED_USER_TK,CASE_DELETED,CASE_CLOSED_TK,CASE_CREATED_TK,CASE_MODIFIED_TK
85A0F994-323D-30D5-3808-11771817C151,94,1,6,0,,-341,
64833B8B-019A-74AA-867E-1D045C2B81C5,4,3,8,0,-203,-223,
8D64D10D-8EEE-277C-5ABA-BD663C1764CA,44,4,20,0,-366,-418,
2567A121-807B-B3C9-2346-9A4C8BF36E48,29,2,11,0,,-258,
7205A606-7043-E157-C680-C5B5527310EA,62,5,17,0,,-464,
FAD65DE5-B9B6-2844-3D1F-027CD3B6C4C7,68,7,7,0,,-123,
C317E9E3-D79E-B66B-C63A-FE019E1589ED,35,8,14,0,,-409,
C5C2930D-C977-670C-1C74-83107BE7EEA8,58,10,3,0,,-265,
70B01DB7-4204-2F4F-EC0E-4CE0F34C745C,4,11,9,0,,-436,
B9132631-D2BE-8143-8340-30EC48F4C196,43,12,8,0,,-243,
BA896CD6-CAE9-389E-45EF-080379A9C255,21,6,13,0,-288,-346,
FDE2A65B-8BCC-49FD-C110-EEFB7ED6EA53,96,9,13,0,-519,-552,
2EE713B1-01B3-B82D-56FB-725F11A801F6,81,13,3,0,-522,-542,
49947819-1ACF-3574-DDE7-322A408CFE76,35,14,1,0,-401,-404,
5D794278-75B0-5EE0-3A7B-227BFE08CF44,31,16,11,0,-244,-260,
A926D7A7-45EF-1B11-6075-76C245FEE9E3,79,19,13,0,-69,-89,
0EA3AD10-9CC4-D172-CFC9-268A934E8B9A,72,20,6,0,-104,-118,
D2A2D6E4-7809-DCEE-968E-FE133BFDE25B,40,23,11,0,-241,-265,
15A5DC80-AE71-52BB-FD1B-F397C5412186,68,25,6,0,-217,-276,
821EF004-8137-2A80-35F0-8366F386D9E5,64,31,5,0,-182,-224,
E104884B-9510-7BF3-934F-366E78AE362A,93,33,1,0,-366,-397,
882E6DA5-0A67-5A1D-CB3C-5B88652289A1,96,39,11,0,-623,-682,
2AE7702D-C4AC-CB03-A03D-321413BF7516,95,43,1,0,-234,-239,
09F6FD83-810D-6316-AEA6-B090590652E7,11,46,4,0,-638,-658,
7223D190-9C3C-A5F9-4EFD-B2E860FF3A4E,70,47,10,0,-39,-43,
0A344730-D613-CBFC-91EA-6F3D37A74CB2,100,49,9,0,-21,-63,
2769ECAE-3E01-A8CB-E282-CA12BFBD997A,99,50,16,0,-369,-371,
CF2B34E5-B68A-717D-5723-7E9FF737D347,8,51,16,0,-261,-281,
E1EB0179-0186-410D-B6F1-D4B1123A97D6,83,54,15,0,-575,-591,
AFF856F6-679C-16C6-CF42-9AD4157F5C2A,62,58,16,0,-324,-382,
C4C0BA02-F051-E7F3-BF32-AF44FA041080,96,60,1,0,-186,-235,
9447B51A-06C8-0359-E4B6-26C59816BC1A,3,65,16,0,-503,-557,
D7DBD9CF-5524-547C-01D9-7535BB57ADEF,29,69,5,0,-109,-155,
A530B937-2A75-CBFF-DE57-14BD181D730A,42,73,2,0,-481,-482,
0593C4BF-A37C-62A5-6A2A-DDD4B0C2240E,29,74,11,0,-128,-152,
E4E8B85F-9235-CB3A-DF22-2C6C268407EB,47,78,1,0,10,0,
A658675E-918B-DC1D-2601-73324A5DB50C,22,79,9,0,-483,-533,
832D0E56-E690-0878-6536-B999112C9B90,92,81,19,0,-483,-519,
E421A755-7B04-F9CB-4A7F-2A90078143B5,67,82,14,0,-167,-187,
4ABC6D91-ABD1-FF32-6776-E4A674D5C2F0,76,89,14,0,-262,-319,
F7585F6C-97F2-8CDF-4322-7398EB4D4A02,38,92,4,0,-653,-666,
7B1C27EB-C069-8D53-945A-AD4A6D94B1D4,70,93,15,0,-54,-71,
20F30DC8-D907-66E9-3D5D-AA371D4F8541,54,95,1,0,-96,-154,
2DC49862-8644-C20F-07E0-701D489923A7,45,96,16,0,-148,-166,
FEECD134-E019-349E-6F15-EC9C38851FA0,33,97,3,0,-167,-195,
12043690-433A-D341-CC83-6B74B3FD46E9,18,98,1,0,-319,-334,
5550FE2A-E6AD-2B8C-030C-5CB4820DC107,47,100,5,0,-409,-429,
10182470-8EA3-B767-230A-56E6F92AE070,55,104,19,0,31,-12,
4408E0E3-1361-F61F-C4AB-155D3EE9E714,36,110,1,0,-202,-234,
35EB85A1-62B6-58AE-E9BE-3EBB7F553900,31,114,19,0,-95,-113,
783ABB68-0A0E-82D2-E71F-89DBD5F08C3A,73,117,16,0,-89,-123,
A45B7BC4-792B-1ACB-4FF5-BC385A5522CA,10,118,4,0,-637,-681,
E069221E-E917-21FC-8BD0-DECECDAEEE4E,85,120,6,0,-346,-366,
C01A3E37-1789-6855-B9F6-C155CEC7B1FE,43,123,4,0,-613,-656,
6AB0F026-4766-7ABC-BF1C-4761B2E0C035,14,125,6,0,-584,-593,
4186E293-1CAE-38D7-54BB-F0482248AB0E,92,126,15,0,-364,-416,
31426EF8-6C5C-459D-AD22-D3D988963236,97,128,13,0,-139,-193,
0AB120CD-C5D1-CAB0-31C2-298770D6B398,58,130,17,0,-508,-554,
2481EE3F-A943-D14C-FD54-C4B33858BE2D,99,131,3,0,-149,-199,
9D90FA8F-3A98-212A-134A-F3BA498B805D,42,133,11,0,-373,-384,
80F5FA40-B53D-E342-2D2B-A95CDEE54302,81,134,16,0,-334,-374,
EF10A80C-61F2-06F9-0C68-7BB9DA70F96C,54,135,12,0,-632,-668,
14972A26-26AF-79B5-485D-8166B1000AD2,26,137,17,0,-70,-98,
3E228777-9C52-B1AA-5E9B-69AB43B0B0A2,48,139,6,0,-19,-36,
AC73575A-A260-E526-38C0-996436839622,9,143,12,0,-190,-217,
C93D1C58-B9CA-4129-277A-DE2C3DCCD053,9,144,1,0,-350,-386,
D9C1BA30-C923-38DC-30E0-BFD7F4881B71,4,151,13,0,-474,-515,
07B23F6A-6052-8D94-FCFD-D2BD6167C47B,73,152,4,0,-55,-60,
59F3C7B2-CAF6-B260-8907-E8913E095B21,88,155,9,0,-534,-556,
BD06DB5C-E6D9-C05A-93EF-1BA4AA5CB759,98,158,7,0,-243,-274,
E9832814-4008-F205-824D-E3B6974FF752,70,163,13,0,-568,-620,
CF5C8D8B-4378-DCB6-428C-35EF589FC43D,47,164,7,0,-206,-233,
45D879B3-AB17-BAAD-0C56-3E0CBB08AB62,1,166,7,0,-278,-288,
5E40D65A-CF47-EFF9-2167-90675C403F81,68,167,7,0,24,5,
3A5FF67F-0846-AE13-0BBA-32BFF2A83DFF,12,168,12,0,-441,-453,
EABBCE28-DD48-106E-3F2B-C477F6A31602,6,172,2,0,-587,-596,
D1979987-7718-6B9F-C398-54E349733CE9,16,178,7,0,-167,-210,
