INVOICE_LINE_ID,INVOICE_LINE_QUANTITY,ASSIGNED_USER_TK,BILLING_ACCOUNT_TK,INVOICE_LINE_DISCOUNT_VALUE,INVOICE_LINE_DISCOUNT_TYPE,PRODUCT_TK,INVOICE_LINE_LIST_PRICE_AMOUNT,INVOICE_TK
1EDD794E-78E6-09E3-7341-6E1F64960ABD,60,5,20,2,Amt,440,2.20,124
53A5A7C9-ECA3-C2DE-359B-84A6F3D6AA45,72,6,63,9,Amt,333,2.50,93
0FA0A90E-4E62-7893-364E-DE10C1C44B02,96,2,99,17,Pct,1536,3.99,215
AEF49622-0345-4E5D-6D4A-A7CAFE59E31A,47,10,61,20,Pct,1448,2.29,123
ACDDB940-1518-4FFC-81FB-189624013A46,67,19,95,5,Amt,842,1.17,183
8F8A4468-FC54-3D1C-A3E8-EC2DB3E30CE2,97,5,14,3,Pct,885,4.49,69
C3E551CE-438D-87B6-9524-19372A31158C,30,19,39,10,Amt,421,2.72,127
3D8459D0-DC82-16E0-66C9-DF99CBFDD048,93,10,4,18,Pct,502,4.48,72
1433F03F-97E3-B08B-8347-843F4C408B92,23,20,46,16,Pct,658,4.58,277
D8C01749-51FF-6D03-898F-A6B057C30E07,92,8,83,2,Pct,493,4.85,72
3F35EE1C-4B27-3E74-FE31-C33FA49C17C4,50,6,100,17,Pct,1525,3.85,260
58FE863A-8D4B-F188-2FF3-07C5838CE3AF,5,17,2,16,Amt,764,2.68,260
E80950D8-D7D3-214E-A371-6CA46ED93678,41,17,47,3,Amt,540,4.11,5
5581B140-CEA3-DE74-1E5C-7EFB44D4B56A,26,9,2,8,Amt,581,1.43,208
230B3952-189F-CC3B-27AF-174152BD9E74,84,16,36,5,Amt,1123,4.25,5
1BA05BBF-4505-D44D-58C2-C36D03B6688D,29,20,49,8,Amt,184,4.44,237
1372F7B3-6DBE-AB30-23F9-A82F6BBAC21B,37,1,3,15,Pct,485,4.09,256
A20A38B8-D4FB-481C-2B88-3A67B56165B1,31,18,7,13,Pct,1470,3.41,151
CE7584C2-7B98-3AD5-1983-A7D4E0039A22,36,3,73,5,Pct,789,2.95,176
70A56972-900F-1194-6774-F660B529A0D6,23,19,35,17,Pct,300,4.00,70
94FB7453-AC89-8709-BE63-4B0313B1EA50,38,12,82,19,Amt,457,1.01,61
0D2C1BFD-6890-DC63-C1D7-2940FA2C0FB2,40,10,58,12,Amt,1302,1.81,96
B9746A60-4F38-8A2E-8637-0EC5F151851C,75,7,87,9,Amt,1409,1.83,147
A9A94625-1E6A-00B0-17BC-9AC7D8CA00E8,83,13,37,5,Amt,294,2.75,287
F44C9249-E177-9A5E-C94E-2A9F4DE3E4DF,50,18,19,19,Pct,1510,2.90,217
DC828E6D-AF5E-C70C-1607-2057AF75B38B,1,1,43,12,Pct,217,1.29,71
9C311FE3-D415-E9C8-D460-A8B275FF70DA,98,7,16,14,Pct,82,3.79,239
29FC71BE-CF85-E14D-3590-E8FCD9DB24FB,72,3,10,16,Amt,665,3.25,63
2E6BE47D-2723-DE9C-A30B-3316EEC9B142,56,9,65,9,Pct,1214,4.29,23
F8B66E74-8A62-A432-4A3F-659AA45D1F89,13,4,8,5,Amt,342,2.05,46
F0CD4442-2C67-268A-FDA9-69D0037FDBBE,17,11,24,5,Pct,827,2.09,241
