INVOICE_LINE_ID,INVOICE_LINE_QUANTITY,ASSIGNED_USER_TK,BILLING_ACCOUNT_TK,INVOICE_LINE_DISCOUNT_VALUE,INVOICE_LINE_DISCOUNT_TYPE,PRODUCT_TK,INVOICE_LINE_LIST_PRICE_AMOUNT,INVOICE_TK,INVOICE_LINE_VAT_VALUE
72E8237B-CD41-E39F-EFAA-3A773C455835,20,6,99,13,Pct,9,4.10,12,0.05
348CAB68-FC1E-CCD6-035D-9C0063ABF3AC,4,16,14,6,Pct,809,4.87,175,0.05
D6E6221E-919F-6666-0189-960B53D0E5DF,64,8,67,16,Amt,1317,3.52,123,0.05
18B288B3-6661-2478-FC2E-5C02BA97460D,41,6,61,11,Amt,975,4.89,101,0.05
377A8CC1-5A59-EA4B-6149-5E795082953A,77,4,83,14,Amt,395,3.62,229,0.075
0A755521-5FB0-3D66-1301-CA2BAEB4C3E1,50,18,48,13,Pct,421,4.89,9,0.075
1CC59841-C816-B76F-5A5C-050F75171C07,81,8,69,19,Pct,838,1.14,137,0.075
7CF6D97F-7B4F-5EC9-A1C0-FF9631472033,85,18,36,7,Amt,1230,4.84,64,0.2
4FA8B61F-D7C5-F857-9FCF-E83F7A10B96D,23,9,97,5,Pct,773,3.92,81,0.175
A9B9DBBE-637B-50E0-3C5A-3A0D2A82077A,1,5,76,3,Pct,395,4.10,231,0.05
4E267D10-6ABA-B538-9E38-EAD3414B56CE,33,4,23,17,Amt,980,3.59,102,0.2
5984F4BA-D7A0-DA69-85A8-FC1C86022B86,53,3,30,16,Pct,684,3.75,137,0.2
8CB1CDB9-736C-0C55-D32B-CECC803BC45F,49,5,46,10,Pct,1,1.96,104,0.05
E4BAAA67-651D-F75E-51EB-4B2C48488436,37,13,3,0,Amt,609,2.78,76,0
0415F500-1C76-524E-4049-B7530706D234,37,9,17,5,Amt,1494,1.80,218,0.2
35C7E357-E49B-4621-6481-26FBC23F101A,16,14,48,5,Pct,393,1.89,296,0.2
761EF24B-5D3C-54EC-751E-ED4427FB02F3,61,13,60,3,Pct,1172,2.01,21,0.175
2D02C336-4085-C595-60C9-0EFE5D3A28A4,13,8,39,16,Amt,1247,2.67,277,0.05
46049ADB-F9BD-FE63-F096-74D75543F955,6,16,66,8,Pct,550,2.87,1,0.175
78558904-D802-D4F6-7B70-FCFC2429230D,22,16,55,10,Amt,1223,2.97,13,0.075
96391ADF-A978-1203-7D50-1D6B04435451,83,9,82,9,Pct,1261,4.82,208,0.05
377C853D-759F-E99A-BB58-6055BDD5931C,23,17,10,3,Pct,844,3.53,3,0.2
495DD81D-F26C-BCE3-8A97-FEBAC4B39E07,3,13,5,15,Amt,1521,1.36,14,0
A036EC8C-967E-82F6-1F74-2743CD2A4E5E,96,3,73,14,Pct,309,1.38,293,0
AC18BAE7-3E1A-91BF-8265-69FEA66D7A1E,54,20,47,16,Amt,1559,3.08,105,0.175
9E158317-91E0-82F7-AA91-F0A3D8A21CC7,19,9,36,14,Amt,1445,4.09,10,0
1D6C4A25-7F0B-133F-1D33-EC50C73DB30E,46,7,36,9,Pct,537,3.50,208,0.2
CD50565F-DCC2-FAB3-57D2-96C0BD377D63,12,14,20,18,Amt,772,3.46,70,0.175
01C96B22-66F1-2DCB-54E2-C531F89BB3E2,23,4,6,18,Amt,996,3.83,17,0.2
B7BEF12F-F6A4-E0D3-0885-8F4271B544EF,43,15,51,2,Pct,1461,2.79,221,0.2
62B28841-5CB9-492A-4774-790890A3B59C,74,17,84,19,Pct,1253,2.64,125,0.175
C3B66F65-03AA-D7F4-DD0C-2188E50F9570,75,15,82,3,Amt,1549,2.00,152,0.05
1DE737C5-20F6-94B2-6B6F-E3C7628767B1,46,14,29,10,Amt,765,3.03,148,0.075
CCC55A72-7733-E231-C812-B866B0D1B4DB,73,14,67,11,Amt,1145,3.28,4,0.05
22B560EA-AF26-F558-C7A0-298A4B814D5A,38,6,13,18,Pct,306,2.00,129,0.2
C4C1DA42-EA20-EC92-D25F-5A74B4CEBE47,47,2,8,20,Amt,821,4.71,75,0
DA2AEC1C-2B84-F2F6-8BE5-10A24FBDEDA0,17,10,89,2,Amt,843,2.46,300,0
200CBBF3-2602-A16D-76F7-87ABE7C6A0F8,56,9,51,10,Amt,1072,4.53,95,0.175
C979AD88-E058-01E2-E905-9B9C7FF9F6BB,51,11,19,3,Pct,1271,3.88,55,0.175
A7248E19-99F7-201D-5390-0BC6AF37B6F7,41,11,87,15,Amt,13,3.81,265,0.05
5F59D7F3-EF71-63FC-5D22-656D50C0BFC4,24,11,77,11,Amt,1141,3.04,188,0.2
