INVOICE_LINE_ID,INVOICE_LINE_QUANTITY,ASSIGNED_USER_TK,BILLING_ACCOUNT_TK,INVOICE_LINE_DISCOUNT_VALUE,INVOICE_LINE_DISCOUNT_AMOUNT,INVOICE_LINE_DISCOUNT_TYPE,INVOICE_LINE_VAT_VALUE,PRODUCT_TK,INVOICE_LINE_COST_PRICE_AMOUNT,INVOICE_LINE_LIST_PRICE_AMOUNT,INVOICE_LINE_UNIT_PRICE_AMOUNT,INVOICE_LINE_TOTAL_VAT_AMOUNT,INVOICE_LINE_TOTAL_AMOUNT,INVOICE_LINE_TOTAL_DISCOUNT_AMOUNT,INVOICE_TK,INVOICE_DELETED,INVOICE_DATE_TK,INVOICE_DUE_DATE_TK
72E8237B-CD41-E39F-EFAA-3A773C455835,20.0,6,99,13.0,-0.53,Pct                                                                                                                                                                                                                                                            ,0.05                                                                                                ,9,2.05,4.1,3.57,3.57,71.34,10.66,12,0,-127,-97
D6E6221E-919F-6666-0189-960B53D0E5DF,64.0,8,67,16.0,-0.16,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1317,1.76,3.52,3.36,10.75,215.04,10.24,123,0,-550,-520
18B288B3-6661-2478-FC2E-5C02BA97460D,41.0,6,61,11.0,-0.11,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,975,2.44,4.89,4.78,9.8,195.98,4.51,101,0,-469,-439
377A8CC1-5A59-EA4B-6149-5E795082953A,77.0,4,83,14.0,-0.14,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,395,1.81,3.62,3.48,20.1,267.96,10.78,229,0,-142,-112
7CF6D97F-7B4F-5EC9-A1C0-FF9631472033,85.0,18,36,7.0,-0.07,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,1230,2.42,4.84,4.77,81.09,405.45,5.95,64,0,-346,-316
4E267D10-6ABA-B538-9E38-EAD3414B56CE,33.0,4,23,17.0,-0.17,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,980,1.8,3.59,3.42,22.57,112.86,5.61,102,0,-309,-279
E4BAAA67-651D-F75E-51EB-4B2C48488436,37.0,13,3,0.0,0.0,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,609,1.39,2.78,2.78,0.0,102.86,0.0,76,0,-202,-172
0415F500-1C76-524E-4049-B7530706D234,37.0,9,17,5.0,-0.05,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,1494,0.9,1.8,1.75,12.95,64.75,1.85,218,0,-303,-273
2D02C336-4085-C595-60C9-0EFE5D3A28A4,13.0,8,39,16.0,-0.16,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1247,1.34,2.67,2.51,1.63,32.63,2.08,277,0,-613,-583
78558904-D802-D4F6-7B70-FCFC2429230D,22.0,16,55,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,1223,1.48,2.97,2.87,4.74,63.14,2.2,13,0,-175,-145
495DD81D-F26C-BCE3-8A97-FEBAC4B39E07,3.0,13,5,15.0,-0.15,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,1521,0.68,1.36,1.21,0.0,3.63,0.45,14,0,-666,-636
AC18BAE7-3E1A-91BF-8265-69FEA66D7A1E,54.0,20,47,16.0,-0.16,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,1559,1.54,3.08,2.92,27.59,157.68,8.64,105,0,-126,-96
9E158317-91E0-82F7-AA91-F0A3D8A21CC7,19.0,9,36,14.0,-0.14,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,1445,2.04,4.09,3.95,0.0,75.05,2.66,10,0,-386,-356
CD50565F-DCC2-FAB3-57D2-96C0BD377D63,12.0,14,20,18.0,-0.18,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,772,1.73,3.46,3.28,6.89,39.36,2.16,70,0,-413,-383
01C96B22-66F1-2DCB-54E2-C531F89BB3E2,23.0,4,6,18.0,-0.18,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,996,1.92,3.83,3.65,16.79,83.95,4.14,17,0,-585,-555
C3B66F65-03AA-D7F4-DD0C-2188E50F9570,75.0,15,82,3.0,-0.03,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1549,1.0,2.0,1.97,7.39,147.75,2.25,152,0,-58,-28
1DE737C5-20F6-94B2-6B6F-E3C7628767B1,46.0,14,29,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.075                                                                                               ,765,1.52,3.03,2.93,10.11,134.78,4.6,148,0,-626,-596
CCC55A72-7733-E231-C812-B866B0D1B4DB,73.0,14,67,11.0,-0.11,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,1145,1.64,3.28,3.17,11.57,231.41,8.03,4,0,-323,-293
C4C1DA42-EA20-EC92-D25F-5A74B4CEBE47,47.0,2,8,20.0,-0.2,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,821,2.36,4.71,4.51,0.0,211.97,9.4,75,0,-277,-247
DA2AEC1C-2B84-F2F6-8BE5-10A24FBDEDA0,17.0,10,89,2.0,-0.02,Amt                                                                                                                                                                                                                                                            ,0.0                                                                                                 ,843,1.23,2.46,2.44,0.0,41.48,0.34,300,0,-698,-668
200CBBF3-2602-A16D-76F7-87ABE7C6A0F8,56.0,9,51,10.0,-0.1,Amt                                                                                                                                                                                                                                                            ,0.175                                                                                               ,1072,2.26,4.53,4.43,43.41,248.08,5.6,95,0,-670,-640
A7248E19-99F7-201D-5390-0BC6AF37B6F7,41.0,11,87,15.0,-0.15,Amt                                                                                                                                                                                                                                                            ,0.05                                                                                                ,13,1.9,3.81,3.66,7.5,150.06,6.15,265,0,-642,-612
5F59D7F3-EF71-63FC-5D22-656D50C0BFC4,24.0,11,77,11.0,-0.11,Amt                                                                                                                                                                                                                                                            ,0.2                                                                                                 ,1141,1.52,3.04,2.93,14.06,70.32,2.64,188,0,-583,-553
