LEAD_ID|LEAD_TK_RAND|LEAD_CREATED_TK_RAND|LEAD_MODIFIED_TK_RAND|LEAD_CONVERTED_TK_RAND|CAMPAIGN_TK_RAND|ASSIGNED_USER_TK_RAND
742CA5F3-74D0-9F6D-5197-0096E0996C06|1|672|49|290|5|20
0F70B450-0A79-F5C6-954C-2A5A44334F72|2|200|45|652|2|2
A881B2A0-586E-D551-36C8-D926A8FC7121|3|114|213|236|3|11
B00AD402-482D-28DF-4C5C-45D1CE08DD5A|4|389|464|640|5|18
D7D6D71C-4F40-524C-4480-B8F96A73326C|5|193|187|243|3|9
AA2DC934-6CAB-CA41-B8FC-A7921592FF55|6|81|138|356|5|12
0ADA8275-FBEB-F08F-45FF-BB8C2E6C699B|7|722|365|380|5|14
311168EA-4DF6-D88B-58D3-E4F2269C589A|8|476|637|551|2|9
71835735-AA04-3A8B-5256-627FCAE17BA3|9|120|119|289|1|7
6B524382-92A6-112C-FE6C-1BE7E9DF1533|10|423|696|185|2|18
DA2130D3-3E9F-03FF-5B8A-23F3A91B57BB|11|58|351|312|3|11
D073EB1F-EB1C-8338-779C-1D89580CB840|12|490|502|264|1|15
38B1E515-FDFF-D031-BFA9-26D2D781048C|13|620|679|181|3|10
5F1FD682-32A7-AB37-9A04-AF7FE1605713|14|474|442|93|5|16
14D0AE26-5D45-061D-2D02-EC26DA913657|15|702|376|252|4|1
902F0DF9-6431-4F54-2A21-8CBE2767710A|16|231|369|429|3|3
E2293DB1-7591-576D-768A-2F3F767A06CF|17|3|407|505|4|20
7425075E-234F-D5BF-1FF0-DAB416A93714|18|30|426|564|4|6
88914BC7-22E5-7E28-F09B-51607D01CDBE|19|58|677|665|4|14
BDEF7E0E-B229-F4A2-D073-BF069D085FB0|20|387|693|57|2|3
D84014B1-7DA5-8AF9-8DB5-83960D0CA9CE|21|220|578|288|4|9
22418403-B834-BE86-7A3B-31BE78F35697|22|81|191|616|2|18
458AAF5A-A1A9-EC53-1100-CFD2DE04EC30|23|407|201|11|5|14
150B0761-B7B3-0DEA-3D90-4176DED1A566|24|206|81|475|3|17
E9B79714-8B24-43FE-ACFC-02034E6382A4|25|587|341|605|3|5
85C9F768-F168-2D2F-C74E-E23D02EF1ADC|26|556|374|628|1|1
737CBFAD-0B98-7443-408A-1C97D176EAC2|27|675|126|193|4|2
D8606A66-36E9-3581-6B99-D92E7A00B728|28|290|559|173|1|5
BA2CE831-803A-62A6-720D-A2D0690AE3A9|29|31|99|92|2|1
AC7E5876-9743-BE22-0613-9466985B061E|30|32|182|553|4|3
43FA5193-4A72-3271-86DD-85943024740D|31|267|160|130|3|19
0D3759DB-E578-B0CD-EBF6-3070D89C3206|32|672|63|450|5|18
496326A4-CEB7-B5C4-2C73-DDB73554FBFC|33|623|602|645|3|16
6AB5068D-02C6-1B01-96E0-0D3630366C29|34|431|120|620|2|1
9F1949E6-8AD0-58C6-F5AE-BFE6FAC129B1|35|513|551|367|5|5
459B5B6B-CBBD-E09C-8B07-43D5E717606F|36|227|308|436|4|19
160DB49F-3F9E-6489-885F-05E7F4910722|37|377|241|51|2|13
6AE9F69A-CCCD-F783-851C-2B71F81AD6A5|38|162|384|545|3|6
EFF52243-9CD8-86C0-B397-0505DCB42735|39|473|357|74|2|16
846938B8-7C51-8BE5-7890-6B002A1E1FC7|40|508|698|475|1|13
803C742E-CD1C-6B76-8037-7C110C9F5D72|41|91|621|134|2|20
1B31481B-7E05-B262-6EFF-9BB6C13462DF|42|165|304|8|4|16
4145595B-E3F8-C297-A20E-81DAC4D879F2|43|371|305|333|2|17
A7148FE7-01F5-B951-C5E2-D80E3EA34177|44|263|142|259|3|4
274BB4B0-EAC4-9F61-B325-F7A60835072B|45|68|503|360|5|15
E22A48BF-79C7-9A80-35D1-60B7AAC65804|46|372|112|152|1|2
376D5C45-B83F-C4EC-BCE4-9B5D6AF8019A|47|497|303|427|1|6
080E4341-031C-B25D-1791-763348B63D2E|48|511|320|175|4|18
3DEFCFA5-BE85-744E-E95D-9CE5EBA97EEF|49|515|483|134|5|12
1714AA2D-67DD-529D-65A5-73D89F237C47|50|465|213|691|1|5
BAB2897D-D21A-2B80-3C98-C3DACA9E532C|51|207|299|149|1|10
42E0F2AC-4172-9E66-20F2-A920D6DB171E|52|192|309|597|1|14
27F2561B-EEE9-F985-DEF8-ACBEF4ED4734|53|549|700|245|2|12
3A0D9A2E-49B4-174B-B2E3-11E418CF5932|54|2|106|243|4|9
7543A204-8067-A73A-84DB-BD85D41A844A|55|29|498|75|5|1
6A1BA2D8-EE7B-A9B0-2CFE-7E6322266916|56|51|99|225|5|3
