LEAD_ID,LEAD_TK,OPPORTUNITY_TK,CAMPAIGN_TK,LEAD_MODIFIED_TK,ASSIGNED_USER_TK,LEAD_DELETED,LEAD_CREATED_TK,LEAD_CONVERTED_TK
983F114A-54C2-E817-9AE4-EB73C8C6946E,1,0,5,,3,0,-68,20210312
73275848-1171-EFFA-BBB9-26FB82C2B0E6,2,0,3,,15,0,-30,20210425
270784DA-E788-CAC9-DD65-0D7C695BD2FA,3,0,1,,1,0,-313,20200717
7506BD0A-B42B-D48D-C02E-C7F6F03A21BC,4,0,5,,11,0,-241,20200925
266D6212-BB14-CE50-39B0-3189289C0FAD,5,0,1,,20,0,-222,20201015
FD86CD33-CE9B-58D3-9559-9FD381B57723,6,0,5,,4,0,-401,20200421
8AF62458-DFA5-2FA7-E755-079EAD5B7F19,7,0,1,,16,0,-129,20210110
E2CD6133-9C87-DFF6-2738-A3B9531F4189,8,0,4,,13,0,-4,20210520
59E77E09-51BA-64E3-91CC-BBACA73688BE,9,0,1,,5,0,-373,20200512
5FD6F921-BE6D-B2F1-A00B-1988E0493511,10,0,3,,1,0,-638,20190822
C904AEEE-C419-2C81-EAED-3AC479606FA5,11,0,5,,4,0,-467,20200209
FA48A746-043D-C92C-E720-FE57C2B9A715,12,0,5,,5,0,-469,20200212
23EBCB5D-83B6-A607-A675-0B676B42385A,13,0,1,,1,0,-10,20210516
F828871C-8864-32BC-15B2-89C66E1087CF,14,0,4,,9,0,19,20210614
29A6782F-43A4-571E-7812-EB0113123213,15,0,4,,18,0,-698,20190627
0D8EDDCC-7EA7-939D-D1FB-30C020AE8F91,16,0,2,,2,0,-216,20201023
584C9A41-1253-AB78-4AD5-D856790E9460,17,0,2,,5,0,-699,20190624
69FAACBB-80CB-BD4F-AD31-41EF2D6D660C,18,0,4,,5,0,7,20210602
793FDE50-F275-3F40-7A17-0227461C18AC,19,0,5,,14,0,-264,20200905
A68D31D1-E997-7190-9594-2663CCF51B08,20,0,5,,5,0,-470,20200213
41A7BE31-CB10-B391-30E1-4FA675F0A878,21,0,2,,16,0,-546,20191123
A0291340-3F94-C561-CFC9-D519A70E38D3,22,0,3,,16,0,-497,20200117
71D68461-DC90-B4D8-F800-5661F542F511,23,0,2,,11,0,-329,20200702
113A1E7E-24DE-BAD7-4A55-C62914638B06,24,0,2,,19,0,-515,20191224
DE74B74E-E6B3-C15F-3F86-0E20175FD391,25,0,4,,10,0,-20,20210503
A4D59CD6-2FD7-02EC-526A-DB34F2F217E7,26,0,1,,19,0,-106,20210205
63D64A97-D028-9860-629D-90D171DB7044,27,0,3,,17,0,-655,20190804
60EB5593-170E-F29A-1864-FF81859ABA23,28,0,5,,19,0,-561,20191106
B9582CCD-B410-5681-22D2-1BC9D654D533,29,0,5,,17,0,-300,20200729
101C29F3-C2D3-4BC2-3FCF-C36DCE837BD8,30,0,1,,10,0,-325,20200704
3F34335D-4B42-FE39-A71F-5D47C6BC0BE5,31,0,3,,6,0,-547,20191122
6B49887D-4638-DB50-EAB7-B19F71FE2B7F,32,0,4,,4,0,-371,20200522
B436ADFE-B4ED-50D2-2CBE-8E2E54BF2C19,33,0,4,,12,0,-624,20190910
02921839-7EF9-4195-2B96-935F577AB834,34,0,1,,13,0,-211,20201027
021A32A5-0480-8E79-94CB-554A33692F0C,35,0,5,,13,0,-688,20190710
1905B64C-E24A-BD21-8216-D1930FB7FC33,36,0,3,,5,0,-690,20190702
B0A83E74-7190-4762-6528-0DAFA14520AA,37,0,3,,20,0,-299,20200724
D93559E9-78CD-3ECD-84A9-D110DED2619D,38,0,3,,5,0,1,20210527
A6EED212-99A3-1FFD-A001-91BBCE52C9F0,39,0,5,,13,0,-519,20191221
3DE7C792-3641-F177-0004-84D9F1C2DBDF,40,0,3,,12,0,-198,20201107
5A407757-1BA3-1C8F-912C-C02FF1CAA91E,41,0,4,,6,0,-511,20200101
AAB830B8-1F1D-8063-0CF4-434BA2B21B03,42,0,1,,19,0,-560,20191109
4A26EA71-05FB-E703-08E8-0B36A9CDBC02,43,0,1,,16,0,-233,20201001
E826C26E-1C1A-B233-6C17-212D43531FB0,44,0,2,,7,0,-465,20200216
6CFC5A98-F2B2-5CEE-C371-F33CB80BDFE7,45,0,1,,20,0,-95,20210218
5FB9E111-A8DC-7C44-A11C-A2F05B7EBF2B,46,0,4,,2,0,-404,20200412
E8684228-DF46-2433-3F7A-148737D66AAB,47,0,5,,6,0,-664,20190803
4EAF077E-CF81-F070-50EC-94914E0A1922,48,0,5,,13,0,-589,20191011
C1F95D68-C957-BCB4-792C-6277909DCD48,49,0,5,,7,0,-233,20201001
E44DA202-5E97-DC1F-29DE-041477FF8F17,50,0,1,,2,0,-303,20200723
10AADE71-8904-5AB8-5194-B511682E4A94,51,0,3,,9,0,-428,20200317
D5D3D84C-5CA6-C3EE-E76C-34A4714898C3,52,0,4,,13,0,-692,20190705
7236C068-A972-4FDA-3DA3-9CE3A05947D0,53,0,3,,5,0,-229,20201003
6DDD523B-AB69-C43B-E124-089A6A33D457,54,0,4,,7,0,-99,20210216
A76AEFCB-2521-464F-F1BF-0E3A33A2AC8D,55,0,5,,13,0,-630,20190828
028001B5-FCCD-B7B3-3E93-BE86AE27F6BB,56,0,5,,13,0,-516,20191225
41B930D8-2577-416B-96A5-78E35F33B8DE,57,0,4,,10,0,-171,20201204
3492D3DA-F96F-E09A-8A66-CE5046609ECA,58,0,5,,8,0,-459,20200218
C46C4F4E-B6AA-68ED-76AA-248C54E18924,59,0,5,,19,0,-412,20200409
6F522469-C50E-5724-7B09-2C8F68230CF9,60,0,1,,2,0,-640,20190822
BE56E143-DFA6-1F95-6FD3-5A59F8796599,61,0,4,,8,0,-36,20210422
EBF86E44-B681-0F58-20B4-56939981AC09,62,0,5,,17,0,-317,20200708
B1835C30-050E-E0AF-AF36-AAE749AB256D,63,0,2,,13,0,-221,20201019
9CEF0DD2-C9DC-3E5B-AF0B-57F6F12357A7,64,0,4,,1,0,-1,20210526
A4A640A5-2E68-EC69-C28C-A68128A84C86,65,0,1,,19,0,-381,20200510
17CDA74F-F303-ECFB-3185-36E32750F3F7,66,0,5,,17,0,-37,20210419
EEF80CDD-83CF-024D-627F-D81284953B48,67,0,4,,9,0,-79,20210303
65654771-DF0A-B8A2-4449-CBD60BC1A033,68,0,4,,15,0,29,20210627
059B3409-D29C-2B64-8202-C070ED59EA2A,69,0,4,,11,0,-347,20200613
E9FD38EE-F89C-97AF-AAEF-19C90BFE44B1,70,0,5,,10,0,-410,20200408
D04FE72C-1698-3783-2E68-658F119D6194,71,0,2,,15,0,-557,20191115
71890852-1317-92F9-225D-A27CF2C947ED,72,0,2,,3,0,-453,20200225
81705162-1AFA-ED85-6F0D-4D0854D99E5D,73,0,1,,3,0,-70,20210317
BFEFDD82-65B2-D625-BB0E-198427E45E71,74,0,3,,8,0,-188,20201117
52C1D5BA-2541-C988-2EB1-FCA1BF4910BB,75,0,1,,17,0,-373,20200515
0561D89C-6D18-7201-27FC-66CAA21DBB98,76,0,2,,17,0,-557,20191113
8651BCE0-3344-D3F9-65B1-D45D255EBAE8,77,0,5,,3,0,-560,20191106
