LEAD_TK,ASS_NUM,PRO_NUM,CON_NUM
1,8,11,21
2,8,19,27
3,9,14,28
4,3,18,26
5,10,19,27
6,3,13,29
7,7,11,21
8,5,11,26
9,1,17,22
10,3,12,23
11,5,16,23
12,6,11,28
13,9,11,28
14,7,19,27
15,6,17,27
16,1,11,29
17,6,15,25
18,1,20,27
19,6,19,29
20,8,11,30
21,10,20,24
22,8,18,30
23,7,11,29
24,5,14,24
25,1,17,25
26,3,20,24
27,1,12,22
28,6,12,22
29,4,12,27
30,8,14,27
31,9,13,24
32,2,17,30
33,4,17,28
34,4,15,28
35,3,18,30
36,2,19,24
37,4,16,21
38,4,15,27
39,10,15,25
40,1,19,26
41,8,15,28
42,9,11,24
43,4,18,24
44,3,12,28
45,8,16,26
46,10,11,23
47,8,17,30
48,4,19,24
49,5,12,24
50,3,12,24
51,6,19,21
52,8,15,29
53,9,15,22
54,6,17,28
55,9,12,21
56,3,11,26
57,4,17,26
58,3,12,24
59,7,13,28
60,4,18,25
61,3,17,30
62,3,14,23
63,8,18,30
64,9,20,29
65,1,11,28
66,8,13,28
67,3,18,23
68,2,13,30
69,8,12,28
70,9,20,25
71,2,18,27
72,1,13,25
73,9,16,28
74,5,15,26
75,9,17,25
76,7,19,25
77,3,12,21
78,5,18,21
79,5,17,22
80,1,13,30
81,9,15,30
82,1,20,24
83,3,12,22
84,3,19,24
85,10,19,25
86,7,17,30
87,10,14,27
88,9,15,29
89,6,20,21
90,4,14,29
91,1,19,21
92,1,19,28
93,9,13,28
94,6,19,30
95,7,19,29
96,10,18,21
97,9,13,27
98,8,13,22
99,6,19,22
100,6,12,26
101,10,18,27
102,10,17,24
103,7,20,29
104,9,14,28
105,5,19,25
106,6,13,26
107,10,17,22
108,7,14,22
109,6,17,30
110,3,18,25
111,6,15,26
112,1,19,29
113,5,16,27
114,10,18,21
115,5,15,29
116,7,20,30
117,2,14,22
118,9,15,27
119,9,16,22
120,3,12,27
121,10,19,26
122,2,19,22
123,3,12,21
124,9,14,27
