OPPORTUNITY_ID,STATUS,STATUS_DATE,EVENT_COUNT,EVENT_STATUS,OPPORTUNITY_TK,ASSIGNED_USER_TK,CAMPAIGN_TK,ACCOUNT_TK,EVENT_AGE,EVENT_CREATED_TK
604F08EA-F505-7C5D-112D-C061A01598D1,Prospecting                                                                                                                                                                                                                                                    ,2020/09/05 00:00:00.000000000,1,1,16,11,3,65,0.0,-235
98C69CAB-E2DB-C039-2670-1E3D505FDC96,Prospecting                                                                                                                                                                                                                                                    ,2021/03/18 00:00:00.000000000,1,1,50,1,1,23,0.0,-41
2771EBC0-164E-335A-CE6B-C28030C2C45A,Prospecting                                                                                                                                                                                                                                                    ,2019/08/19 00:00:00.000000000,1,1,51,17,5,75,0.0,-618
9C147D83-C543-3DE8-880A-CF61FDE3F7C1,Prospecting                                                                                                                                                                                                                                                    ,2020/03/12 00:00:00.000000000,1,1,86,6,1,22,0.0,-412
1BACABA5-9191-407F-48F5-96F0CA6A9B4F,Prospecting                                                                                                                                                                                                                                                    ,2019/07/18 00:00:00.000000000,1,1,89,14,2,80,0.0,-650
1880885F-F606-328C-50B5-2DD9524ED374,Prospecting                                                                                                                                                                                                                                                    ,2020/07/14 00:00:00.000000000,1,1,115,16,5,49,0.0,-288
A76BC2A1-89EC-37EF-46F2-0F285BA09665,Prospecting                                                                                                                                                                                                                                                    ,2019/12/13 00:00:00.000000000,1,1,120,7,3,10,0.0,-502
8DF54227-6A1A-2509-C28E-523798677C96,Prospecting                                                                                                                                                                                                                                                    ,2020/02/13 00:00:00.000000000,1,1,129,9,4,54,0.0,-440
3A59CA3B-8BA8-E3D3-BA0E-5FF2DF2B551F,Prospecting                                                                                                                                                                                                                                                    ,2020/10/22 00:00:00.000000000,1,1,130,4,5,46,0.0,-188
D9439A65-4F7E-4BAF-2E6E-A1AB67B97A23,Prospecting                                                                                                                                                                                                                                                    ,2019/06/29 00:00:00.000000000,1,1,133,18,4,78,0.0,-669
250A478C-D860-5FD8-EC09-347FEE27A7D2,Prospecting                                                                                                                                                                                                                                                    ,2019/08/06 00:00:00.000000000,1,1,172,15,5,56,0.0,-631
E3FAF331-0BD7-BA88-1223-9EF1FD8D5F61,Prospecting                                                                                                                                                                                                                                                    ,2020/03/25 00:00:00.000000000,1,1,197,3,2,3,0.0,-399
A39345E4-A893-24AE-6450-60E845FB48A9,Prospecting                                                                                                                                                                                                                                                    ,2020/01/21 00:00:00.000000000,1,1,199,7,4,75,0.0,-463
ECF69F63-E3D4-4D4A-B76E-39AD779C3A55,Prospecting                                                                                                                                                                                                                                                    ,2019/07/22 00:00:00.000000000,1,1,232,11,3,96,0.0,-646
BB13B003-EEBF-F5E8-3B06-7C163FF37983,Prospecting                                                                                                                                                                                                                                                    ,2019/05/31 00:00:00.000000000,1,1,276,7,4,67,0.0,-698
9E3E6385-2F9D-1EC1-4243-62C43B24422A,Prospecting                                                                                                                                                                                                                                                    ,2020/10/21 00:00:00.000000000,1,1,286,3,3,67,0.0,-189
CA7E9DD8-5109-DD85-1B02-172B16F7F5E6,Prospecting                                                                                                                                                                                                                                                    ,2020/01/25 00:00:00.000000000,1,1,347,4,2,89,0.0,-459
8A69AB7E-1757-9E62-E986-0FDA54190756,Prospecting                                                                                                                                                                                                                                                    ,2020/11/05 00:00:00.000000000,1,1,13,20,2,46,0.0,-174
A731D406-3029-D99C-E5BE-6436475669CA,Prospecting                                                                                                                                                                                                                                                    ,2020/09/21 00:00:00.000000000,1,1,17,11,5,1,0.0,-219
50765570-68D1-9EAF-FF55-C885234352D1,Prospecting                                                                                                                                                                                                                                                    ,2020/01/03 00:00:00.000000000,1,1,27,11,4,1,0.0,-481
17233F3C-800F-061B-EAE7-6EEDA9982082,Prospecting                                                                                                                                                                                                                                                    ,2019/09/30 00:00:00.000000000,1,1,29,1,2,40,0.0,-576
A0C05E61-8A71-83DD-B1F6-72978F952275,Prospecting                                                                                                                                                                                                                                                    ,2019/06/28 00:00:00.000000000,1,1,40,9,3,78,0.0,-670
F4F9B864-615B-C6C0-16AA-37A00A5935A7,Prospecting                                                                                                                                                                                                                                                    ,2019/07/17 00:00:00.000000000,1,1,73,3,3,60,0.0,-651
B81023D9-BCF7-A78F-563D-0B1FD963F94E,Prospecting                                                                                                                                                                                                                                                    ,2020/11/06 00:00:00.000000000,1,1,80,7,3,91,0.0,-173
FC736D18-9006-FD14-811A-BAF9B28D1422,Prospecting                                                                                                                                                                                                                                                    ,2019/12/22 00:00:00.000000000,1,1,92,6,3,64,0.0,-493
89382544-7C53-432A-84C8-1E6A3224FB9D,Prospecting                                                                                                                                                                                                                                                    ,2019/11/15 00:00:00.000000000,1,1,117,2,2,86,0.0,-530
03ABD04E-25B2-A764-0B95-54CE10FCC36E,Prospecting                                                                                                                                                                                                                                                    ,2021/01/25 00:00:00.000000000,1,1,139,9,5,68,0.0,-93
D331731D-7C38-F130-BE13-E3FA7C620783,Prospecting                                                                                                                                                                                                                                                    ,2019/07/15 00:00:00.000000000,1,1,141,19,5,20,0.0,-653
4752E70F-5B66-7679-122E-63411C88B6FF,Prospecting                                                                                                                                                                                                                                                    ,2019/08/09 00:00:00.000000000,1,1,169,12,4,62,0.0,-628
60BE79F1-9017-A084-1380-410FDECB5BD4,Prospecting                                                                                                                                                                                                                                                    ,2019/07/16 00:00:00.000000000,1,1,181,2,2,55,0.0,-652
10FA450A-4083-FE2D-7934-3FE2480230A1,Prospecting                                                                                                                                                                                                                                                    ,2020/07/20 00:00:00.000000000,1,1,183,5,4,96,0.0,-282
9E39F1E4-3791-0E3C-5790-53EF7FAED78B,Prospecting                                                                                                                                                                                                                                                    ,2021/01/16 00:00:00.000000000,1,1,209,5,2,26,0.0,-102
