SALE_ID,INVOICE_TK,PRODUCT_TK,BILLING_ACCOUNT_TK,ASSIGNED_USER_TK,SALE_QUANTITY,SALE_LIST_PRICE_AMOUNT,SALE_DISCOUNT_TYPE,SALE_DISCOUNT_VALUE,SALE_VAT_VALUE
72E8237B-CD41-E39F-EFAA-3A773C455835,12,9,99,6,20,4.1,Pct,13,0.05
348CAB68-FC1E-CCD6-035D-9C0063ABF3AC,175,809,14,16,4,4.87,Pct,6,0.05
D6E6221E-919F-6666-0189-960B53D0E5DF,123,1317,67,8,64,3.52,Amt,16,0.05
18B288B3-6661-2478-FC2E-5C02BA97460D,101,975,61,6,41,4.89,Amt,11,0.05
377A8CC1-5A59-EA4B-6149-5E795082953A,229,395,83,4,77,3.62,Amt,14,0.075
0A755521-5FB0-3D66-1301-CA2BAEB4C3E1,9,421,48,18,50,4.89,Pct,13,0.075
1CC59841-C816-B76F-5A5C-050F75171C07,137,838,69,8,81,1.14,Pct,19,0.075
7CF6D97F-7B4F-5EC9-A1C0-FF9631472033,64,1230,36,18,85,4.84,Amt,7,0.2
4FA8B61F-D7C5-F857-9FCF-E83F7A10B96D,81,773,97,9,23,3.92,Pct,5,0.175
A9B9DBBE-637B-50E0-3C5A-3A0D2A82077A,231,395,76,5,1,4.1,Pct,3,0.05
4E267D10-6ABA-B538-9E38-EAD3414B56CE,102,980,23,4,33,3.59,Amt,17,0.2
5984F4BA-D7A0-DA69-85A8-FC1C86022B86,137,684,30,3,53,3.75,Pct,16,0.2
8CB1CDB9-736C-0C55-D32B-CECC803BC45F,104,1,46,5,49,1.96,Pct,10,0.05
E4BAAA67-651D-F75E-51EB-4B2C48488436,76,609,3,13,37,2.78,Amt,0,0
0415F500-1C76-524E-4049-B7530706D234,218,1494,17,9,37,1.8,Amt,5,0.2
35C7E357-E49B-4621-6481-26FBC23F101A,296,393,48,14,16,1.89,Pct,5,0.2
761EF24B-5D3C-54EC-751E-ED4427FB02F3,21,1172,60,13,61,2.01,Pct,3,0.175
2D02C336-4085-C595-60C9-0EFE5D3A28A4,277,1247,39,8,13,2.67,Amt,16,0.05
46049ADB-F9BD-FE63-F096-74D75543F955,1,550,66,16,6,2.87,Pct,8,0.175
78558904-D802-D4F6-7B70-FCFC2429230D,13,1223,55,16,22,2.97,Amt,10,0.075
96391ADF-A978-1203-7D50-1D6B04435451,208,1261,82,9,83,4.82,Pct,9,0.05
377C853D-759F-E99A-BB58-6055BDD5931C,3,844,10,17,23,3.53,Pct,3,0.2
495DD81D-F26C-BCE3-8A97-FEBAC4B39E07,14,1521,5,13,3,1.36,Amt,15,0
