SALE_ID,INVOICE_TK,PRODUCT_TK,BILLING_ACCOUNT_TK,ASSIGNED_USER_TK,SALE_QUANTITY,SALE_COST_PRICE_AMOUNT,SALE_LIST_PRICE_AMOUNT,SALE_DISCOUNT_AMOUNT,SALE_UNIT_PRICE_AMOUNT,SALE_VAT_VALUE,SALE_TOTAL_VAT_AMOUNT,SALE_TOTAL_DISCOUNT_AMOUNT,SALE_TOTAL_AMOUNT,SALE_DELETED,SALE_PAID_DATE_TK
72E8237B-CD41-E39F-EFAA-3A773C455835,12,9,99,6,20.0,2.05,4.1,0.53,3.57,0.05,3.57,10.66,71.34,0,-97
348CAB68-FC1E-CCD6-035D-9C0063ABF3AC,175,809,14,16,4.0,2.44,4.87,0.29,4.58,0.05,0.92,1.17,18.31,0,-168
0A755521-5FB0-3D66-1301-CA2BAEB4C3E1,9,421,48,18,50.0,2.44,4.89,0.64,4.25,0.075,15.95,31.78,212.71,0,-667
1CC59841-C816-B76F-5A5C-050F75171C07,137,838,69,8,81.0,0.57,1.14,0.22,0.92,0.075,5.61,17.54,74.8,0,-150
4FA8B61F-D7C5-F857-9FCF-E83F7A10B96D,81,773,97,9,23.0,1.96,3.92,0.2,3.72,0.175,14.99,4.51,85.65,0,-196
A9B9DBBE-637B-50E0-3C5A-3A0D2A82077A,231,395,76,5,1.0,2.05,4.1,0.12,3.98,0.05,0.2,0.12,3.98,0,-550
5984F4BA-D7A0-DA69-85A8-FC1C86022B86,137,684,30,3,53.0,1.88,3.75,0.6,3.15,0.2,33.39,31.8,166.95,0,-150
8CB1CDB9-736C-0C55-D32B-CECC803BC45F,104,1,46,5,49.0,0.98,1.96,0.2,1.76,0.05,4.32,9.6,86.44,0,-110
35C7E357-E49B-4621-6481-26FBC23F101A,296,393,48,14,16.0,0.94,1.89,0.09,1.8,0.2,5.75,1.51,28.73,0,-211
761EF24B-5D3C-54EC-751E-ED4427FB02F3,21,1172,60,13,61.0,1.0,2.01,0.06,1.95,0.175,20.81,3.68,118.93,0,-375
46049ADB-F9BD-FE63-F096-74D75543F955,1,550,66,16,6.0,1.44,2.87,0.23,2.64,0.175,2.77,1.38,15.84,0,-696
96391ADF-A978-1203-7D50-1D6B04435451,208,1261,82,9,83.0,2.41,4.82,0.43,4.39,0.05,18.2,36.01,364.05,0,-497
